"","Slide","ClickedAOI.Surface","OtherAOI.Surface","ClickedAOI.Meaningful","OtherAOI.Meaningful","ClickedAOI.Invalid","OtherAOI.Invalid"
"1","fruit.bmp",0.38313062500315,0.61686937499685,NA,NA,0.489818230584537,0.510181769415463
"2","intro.bmp",0.276609415835344,0.723390584164657,NA,NA,0.377182252266753,0.622817747733247
"3","0.bmp",0.301779955064641,0.698220044935359,0.250375021852612,0.749624978147388,0.277748838622093,0.722251161377906
"4","1.bmp",0.460919418989499,0.539080581010501,0.450793823706337,0.549206176293663,0.424355668013477,0.575644331986523
"5","2.bmp",0.429978433650773,0.570021566349227,0.496582037534662,0.503417962465338,0.434427749704032,0.565572250295968
"6","3.bmp",0.485507323896348,0.514492676103652,0.356404157854223,0.643595842145777,0.476886432048885,0.523113567951115
"7","4.bmp",0.419968153205999,0.580031846794001,0.554214730836889,0.44578526916311,0.411029263033168,0.588970736966832
"8","5.bmp",0.508137958060002,0.491862041939998,NA,NA,0.288809890891097,0.711190109108903
"9","6.bmp",0.486865724985925,0.513134275014075,NA,NA,0.478120566922694,0.521879433077307
"10","7.bmp",0.419805549347284,0.580194450652716,NA,NA,0.393644992676784,0.606355007323216
"11","8.bmp",0.523018073093658,0.476981926906342,NA,NA,0.508217051185705,0.491782948814295
"12","9.bmp",0.447802572354102,0.552197427645898,NA,NA,0.488897282426856,0.511102717573144
"13","10.bmp",0.471977718660367,0.528022281339633,0.359858504726894,0.640141495273106,0.440053663256654,0.559946336743346
"14","11.bmp",NA,NA,NA,NA,0.403558656315487,0.596441343684513
