Slide,Average.Transitions.Surface,Surface.Percentage.Surface,Meaningful.Percentage.Surface,Average.Transitions.Meaningful,Surface.Percentage.Meaningful,Meaningful.Percentage.Meaningful,Average.Transitions.Invalid,Surface.Percentage.Invalid,Meaningful.Percentage.Invalid
fruit.bmp,6.4,0.34375,0.28125,NA,NA,NA,16.5,0.363636364,0.424242424
intro.bmp,31.6,0.430379747,0.310126582,NA,NA,NA,58.5,0.461538462,0.239316239
0.bmp,35,0.371428571,0.428571429,51.6,0.348837209,0.337209302,44,0.25,0.5
1.bmp,24,0.25,0.25,60.33333333,0.287292818,0.276243094,36.66666667,0.272727273,0.172727273
2.bmp,58,0.103448276,0.293103448,56.25,0.253333333,0.257777778,33.5,0.343283582,0.313432836
3.bmp,27,0.314814815,0.185185185,61,0.278688525,0.368852459,75.66666667,0.251101322,0.299559471
4.bmp,37,0.279279279,0.252252252,99.33333333,0.194630872,0.379194631,65,0.292307692,0.292307692
5.bmp,33,0.303030303,0.151515152,65,0.292307692,0.317948718,33.66666667,0.346534653,0.237623762
6.bmp,28,0.267857143,0.25,63.5,0.291338583,0.299212598,48,0.395833333,0.229166667
7.bmp,27.5,0.2,0.109090909,42,0.166666667,0.18452381,28,0.321428571,0
8.bmp,34.4,0.377906977,0.238372093,NA,NA,NA,110,0.422727273,0.177272727
9.bmp,39.33333333,0.288135593,0.110169492,67.25,0.275092937,0.133828996,NA,NA,NA
10.bmp,35.2,0.403409091,0.068181818,57,0.368421053,0.140350877,95,0.231578947,0.063157895
11.bmp,NA,NA,NA,NA,NA,NA,98.57142857,0.295652174,0
