Slide,Average.Transitions.Surface,Surface.Percentage.Surface,Meaningful.Percentage.Surface,Average.Transitions.Meaningful,Surface.Percentage.Meaningful,Meaningful.Percentage.Meaningful,Average.Transitions.Invalid,Surface.Percentage.Invalid,Meaningful.Percentage.Invalid
fruit.bmp,8.4,0.261904762,0.142857143,NA,NA,NA,18.5,0.297297297,0.324324324
intro.bmp,38.2,0.319371728,0.219895288,NA,NA,NA,70,0.342857143,0.178571429
0.bmp,39,0.333333333,0.358974359,60.8,0.246710526,0.246710526,61,0.131147541,0.31147541
1.bmp,30,0.2,0.2,65.33333333,0.25,0.229591837,41.33333333,0.233870968,0.153225806
2.bmp,68,0.058823529,0.235294118,64.25,0.20233463,0.214007782,43.5,0.252873563,0.218390805
3.bmp,28,0.285714286,0.160714286,68,0.242647059,0.308823529,90.33333333,0.180811808,0.239852399
4.bmp,40.33333333,0.231404959,0.190082645,118.6666667,0.143258427,0.283707865,89,0.191011236,0.202247191
5.bmp,42,0.19047619,0.095238095,83,0.196787149,0.200803213,48.66666667,0.191780822,0.116438356
6.bmp,31.5,0.19047619,0.19047619,77.75,0.21221865,0.202572347,68,0.235294118,0.147058824
7.bmp,31,0.161290323,0.096774194,53.25,0.098591549,0.131455399,32,0.25,0
8.bmp,47.6,0.239495798,0.159663866,NA,NA,NA,119.5,0.376569038,0.150627615
9.bmp,55,0.157575758,0.048484848,79.5,0.216981132,0.103773585,NA,NA,NA
10.bmp,44,0.277272727,0.05,60,0.35,0.116666667,141,0.120567376,0.042553191
11.bmp,NA,NA,NA,NA,NA,NA,122.8571429,0.205813953,0
