Slide,Average.Transitions.Surface,Surface.Percentage.Surface,Meaningful.Percentage.Surface,Average.Transitions.Meaningful,Surface.Percentage.Meaningful,Meaningful.Percentage.Meaningful,Average.Transitions.Invalid,Surface.Percentage.Invalid,Meaningful.Percentage.Invalid
fruit.bmp,10,0.357142857,0.242857143,NA,NA,NA,29,0.344827586,0.275862069
intro.bmp,37.88888889,0.351906158,0.281524927,NA,NA,NA,52.5,0.319047619,0.323809524
0.bmp,31,0.24516129,0.329032258,61,0.300546448,0.360655738,42,0.323809524,0.3
1.bmp,26.5,0.377358491,0.182389937,81,0.395061728,0.271604938,47.16666667,0.441696113,0.215547703
2.bmp,27.88888889,0.386454183,0.203187251,56,0.392857143,0.196428571,34.33333333,0.417475728,0.213592233
3.bmp,24,0.385416667,0.166666667,66,0.242424242,0.227272727,38.5,0.448051948,0.214285714
4.bmp,35,0.39047619,0.171428571,35,0.314285714,0.171428571,51,0.352941176,0.199346405
5.bmp,23.54545455,0.436293436,0.196911197,NA,NA,NA,32,0.15625,0.09375
6.bmp,17.5,0.414285714,0.204761905,NA,NA,NA,19,0.210526316,0.157894737
7.bmp,32.57142857,0.293859649,0.074561404,NA,NA,NA,32.5,0.302564103,0.076923077
8.bmp,23.6,0.491525424,0.177966102,NA,NA,NA,28,0.488095238,0.142857143
9.bmp,33.1,0.447129909,0.081570997,NA,NA,NA,27,0.37037037,0.148148148
10.bmp,22.5,0.4,0.08,44,0.204545455,0.136363636,39,0.346153846,0.038461538
11.bmp,NA,NA,NA,NA,NA,NA,68.15384615,0.299097065,0
