Slide,Average.Transitions.Surface,Surface.Percentage.Surface,Meaningful.Percentage.Surface,Average.Transitions.Meaningful,Surface.Percentage.Meaningful,Meaningful.Percentage.Meaningful,Average.Transitions.Invalid,Surface.Percentage.Invalid,Meaningful.Percentage.Invalid
fruit.bmp,13.71428571,0.21875,0.114583333,NA,NA,NA,34.75,0.28057554,0.230215827
intro.bmp,44.66666667,0.266169154,0.221393035,NA,NA,NA,66,0.21969697,0.223484848
0.bmp,35.8,0.184357542,0.25698324,77.66666667,0.214592275,0.236051502,49.2,0.256097561,0.231707317
1.bmp,30.33333333,0.313186813,0.142857143,85,0.352941176,0.247058824,52.83333333,0.38170347,0.164037855
2.bmp,32.55555556,0.307167235,0.136518771,60,0.366666667,0.183333333,37.66666667,0.362831858,0.194690265
3.bmp,29.125,0.283261803,0.103004292,88,0.159090909,0.113636364,41,0.414634146,0.18902439
4.bmp,39.33333333,0.334745763,0.139830508,36,0.305555556,0.138888889,60.66666667,0.266483516,0.145604396
5.bmp,28.36363636,0.349358974,0.137820513,NA,NA,NA,36.5,0.123287671,0.04109589
6.bmp,20.91666667,0.310756972,0.151394422,NA,NA,NA,29,0.103448276,0.103448276
7.bmp,39.28571429,0.210909091,0.047272727,NA,NA,NA,39.83333333,0.217573222,0.058577406
8.bmp,26.9,0.401486989,0.12267658,NA,NA,NA,31.66666667,0.378947368,0.115789474
9.bmp,38.4,0.341145833,0.065104167,NA,NA,NA,37.33333333,0.25,0.071428571
10.bmp,27,0.296296296,0.059259259,58,0.120689655,0.068965517,47.5,0.263157895,0.031578947
11.bmp,NA,NA,NA,NA,NA,NA,83.30769231,0.226223453,0
