S1,S2,S5,S6,S7,S8,S12,S14,S15,S17,S18,S24,S26,S33
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Meaningful,Surface,Invalid,Invalid,Meaningful,Surface,Meaningful,Invalid,Invalid,Surface,Surface,Surface,Invalid,Meaningful
Invalid,Invalid,Invalid,Surface,Meaningful,Surface,Invalid,Invalid,Invalid,Surface,Surface,Surface,Surface,Surface
Surface,Surface,Surface,Surface,Meaningful,Invalid,Surface,Surface,Invalid,Surface,Invalid,Surface,Surface,Surface
Invalid,Invalid,Invalid,Surface,Surface,Surface,Meaningful,Surface,Invalid,Surface,Surface,Surface,Surface,Surface
Invalid,Invalid,Meaningful,Surface,Surface,Surface,Invalid,Surface,Invalid,Invalid,Surface,Surface,Invalid,Surface
Surface,Surface,Surface,Surface,Surface,Surface,Invalid,Surface,Surface,Surface,Invalid,Surface,Surface,Surface
Surface,Surface,Surface,Surface,Surface,Surface,Invalid,Surface,Surface,Surface,Surface,Surface,Surface,Surface
Surface,Surface,Invalid,Surface,Invalid,Surface,Invalid,Surface,Invalid,Invalid,Surface,Invalid,Surface,Surface
Surface,Surface,Surface,Surface,Surface,Surface,Invalid,Surface,Surface,Invalid,Invalid,Surface,Surface,Surface
Surface,Surface,Surface,Surface,Surface,Invalid,Invalid,Surface,Surface,Surface,Invalid,Surface,Surface,Surface
Surface,Surface,Surface,Surface,Surface,Surface,Meaningful,Surface,Invalid,Surface,Surface,Surface,Invalid,Surface
Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid,Invalid
