Subject_ID,Slide_Image,Event,CNT,Time,TIME(2016/06/23 13:49:08.804),TIMETICK(f=2531445),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
p13,fruit.bmp,1,3,49.07,0.04907,9890070896,352.39936,180.12672,0.34414,0.23454,0,0.04906,2,1,0.35513,0.31401,1,-0.97363,0.34635,0,,0.27182,0.27463,24.00994,1.00787,1,0.58606,0.25396,25.49907,1.00787,1,0,0,26
p13,fruit.bmp,1,4,65.52,0.06552,9890112554,354.65216,192.33024,0.34634,0.25043,0,0.06552,2,1,0.35513,0.31401,1,-0.97363,0.34635,0,,0.27182,0.27463,24.00994,1.00787,1,0.58602,0.25404,25.40317,1.00787,1,0,0,26
p13,fruit.bmp,1,5,82.03,0.08203,9890154328,356.89472,204.288,0.34853,0.266,0,0.08202,2,1,0.35947,0.34381,1,-0.97363,0.34635,0,,0.26884,0.27135,24.24995,1.00787,1,0.58308,0.25012,25.40626,1.00787,1,0,0,26
p13,fruit.bmp,1,6,98.5,0.0985,9890196037,356.67968,205.22496,0.34832,0.26722,0,0.0985,2,1,0.34708,0.27455,1,-0.97363,0.34635,0,,0.26729,0.26988,24.04144,1.00787,1,0.58167,0.24828,25.64281,1.00787,1,0,0,26
p13,fruit.bmp,1,7,116.22,0.11622,9890240886,356.51584,205.92384,0.34816,0.26813,0,0.11622,2,1,0.34708,0.27455,1,-0.97363,0.34635,0,,0.26732,0.26991,24.07969,1.00787,1,0.58167,0.24828,25.64281,1.00787,1,0,0,26
p13,fruit.bmp,1,8,131.26,0.13126,9890278944,352.47104,208.09728,0.34421,0.27096,0,0.13125,2,1,0.31262,0.29356,1,-0.97363,0.34635,0,,0.26428,0.26795,24.09438,1.00787,1,0.57882,0.24572,25.42314,1.00787,1,0,0,26
p13,fruit.bmp,1,9,147.64,0.14764,9890320411,350.9248,212.1216,0.3427,0.2762,0,0.14763,2,1,0.32911,0.32338,1,-0.97363,0.34635,0,,0.26265,0.26652,24.29995,1.00787,1,0.57738,0.24375,25.46522,1.00787,1,0,0,26
p13,fruit.bmp,1,10,164.11,0.16411,9890362114,349.66528,215.41632,0.34147,0.28049,0,0.1641,2,1,0.32911,0.32338,1,-0.97363,0.34635,0,,0.26265,0.26652,24.29995,1.00787,1,0.57731,0.24372,25.5215,1.00787,1,0,0,26
p13,fruit.bmp,1,11,180.49,0.18049,9890403574,351.46752,220.20864,0.34323,0.28673,0,0.18048,2,1,0.36265,0.35535,1,-0.97363,0.34635,0,,0.26026,0.26353,24.28453,1.00787,1,0.57508,0.23994,25.51685,1.00787,1,0,0,26
p13,fruit.bmp,1,12,198.48,0.19848,9890449115,365.2608,219.70944,0.3567,0.28608,0,0.19847,2,1,0.51835,0.27828,1,-0.97363,0.34635,0,,0.26395,0.26044,24.27222,1.00787,1,0.57837,0.23704,25.24821,1.00787,1,0,0,26
p13,fruit.bmp,1,13,213.81,0.21381,9890487924,377.07776,219.66336,0.36824,0.28602,0,0.21381,2,1,0.51825,0.28526,1,-0.97363,0.34635,0,,0.26396,0.26041,24.28272,1.00339,1,0.57849,0.23676,25.34941,0.99891,1,0,0,26
