Subject_ID,Slide_Image,,CNT,Time,TIME(2016/06/23 14:23:23.325),TIMETICK(f=2531445),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
p15,fruit.bmp,1,1,16.2,0.0162,15090478060,573.0816,264.4608,0.55965,0.34435,0,0.0162,2,1,0.58042,0.32815,1,-0.97949,0.30339,0,,0.42471,0.48914,19.48282,1.10776,1,0.75719,0.50372,20.04179,1.11232,1,0,0,44
p15,fruit.bmp,1,2,36.18,0.03618,15090528635,575.8976,262.79424,0.5624,0.34218,0,0.03618,2,1,0.5734,0.33353,1,-0.97949,0.30339,0,,0.42829,0.48545,21.08085,1.10031,1,0.75979,0.50385,19.89647,1.10487,1,0,0,44
p15,fruit.bmp,1,3,49.11,0.04911,15090561363,577.78176,262.83264,0.56424,0.34223,0,0.04911,2,1,0.57345,0.34246,1,-0.97949,0.30339,0,,0.42856,0.4832,22.55046,1.08725,1,0.76017,0.50326,20.93348,1.08668,1,0,0,44
p15,fruit.bmp,1,4,66.42,0.06642,15090605194,573.07136,276.2112,0.55964,0.35965,0,0.06642,2,1,0.532,0.46418,1,-0.97949,0.30339,0,,0.4297,0.47843,18.84665,1.06907,1,0.76033,0.49944,19.63406,1.0629,1,0,0,44
p15,fruit.bmp,1,5,83.83,0.08383,15090649246,568.81152,280.91904,0.55548,0.36578,0,0.08383,2,1,0.52639,0.40864,1,-0.97949,0.30339,0,,0.42893,0.47669,12.78299,1.05834,1,0.75836,0.49691,14.63431,1.05217,1,0,0,44
p15,fruit.bmp,1,6,98.37,0.09837,15090686064,558.7968,280.11264,0.5457,0.36473,0,0.09837,2,1,0.46742,0.3564,1,-0.97949,0.30339,0,,0.42893,0.47669,12.78299,1.04761,0,0.7569,0.50683,7.68968,1.04656,1,0,0,44
p15,fruit.bmp,1,7,117.68,0.11768,15090734963,558.7968,280.11264,0.5457,0.36473,0,0.11768,2,1,0.46742,0.3564,0,-0.97949,0.30339,0,,0.42893,0.47669,12.78299,1.04201,0,0.7569,0.50683,7.68968,1.04096,0,0,0,44
p15,fruit.bmp,1,8,131.16,0.13116,15090769081,558.7968,280.11264,0.5457,0.36473,0,0.13116,2,1,0.46742,0.3564,0,-0.97949,0.30339,0,,0.42893,0.47669,12.78299,1.0364,0,0.7569,0.50683,7.68968,1.03536,0,0,0,44
p15,fruit.bmp,1,9,147.65,0.14765,15090810822,558.7968,280.11264,0.5457,0.36473,0,0.14765,2,1,0.46742,0.3564,0,-1.00195,0.30469,0,,0.42893,0.47669,12.78299,1.0308,0,0.7569,0.50683,7.68968,1.02976,0,0,0,44
p15,fruit.bmp,1,25,411.05,0.41105,15091477614,621.75232,286.77888,0.60718,0.37341,0.36135,0.0497,3,1,0.61437,0.35791,1,-0.98926,0.30599,0,,0.35843,0.47796,19.28006,1.05179,1,0.69009,0.46525,21.1722,1.05635,1,0,0,43
