Subject_ID,Slide_Image,Event,CNT,Time,Time,TIME(2016/06/16 11:19:15.470),TIMETICK(f=2531396),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s14,fruit.bmp,1,0,0,0,0,20032520333,376.53504,68.12928,0.36771,0.08871,0,0,1,1,0.40627,0.08815,1,-0.99902,0.23177,3,,0.2197,0.44704,17.09168,1.00537,1,0.57544,0.44254,17.37953,1.00273,1,0,0,17
s14,fruit.bmp,1,1,16.2,16.2,0.0162,20032561345,381.47072,68.07552,0.37253,0.08864,0,0.0162,1,1,0.40627,0.08815,1,-0.99902,0.23177,0,,0.21959,0.44719,17.03557,1.00537,1,0.57523,0.44272,17.12522,1.00273,1,0,0,17
s14,fruit.bmp,1,2,32.99,32.99,0.03299,20032603845,379.1872,68.80512,0.3703,0.08959,0,0.03299,1,1,0.35248,0.09721,1,-0.99902,0.23177,0,,0.21886,0.44737,16.87362,1.00537,1,0.57472,0.44289,17.31987,1.00273,1,0,0,17
s14,fruit.bmp,1,3,49.1,49.1,0.0491,20032644614,382.44352,68.49792,0.37348,0.08919,0,0.0491,1,1,0.4021,0.08557,1,-0.99902,0.23177,0,,0.21861,0.44807,17.97359,1.00537,1,0.57456,0.44284,17.3648,1.00273,1,0,0,17
s14,fruit.bmp,1,4,65.57,65.57,0.06557,20032686320,385.1264,68.43648,0.3761,0.08911,0,0.06557,1,1,0.40229,0.08834,1,-0.99902,0.23177,0,,0.21851,0.44765,17.40504,1.00537,1,0.57442,0.44278,17.199,0.99835,1,0,0,17
s14,fruit.bmp,1,5,81.99,81.99,0.08199,20032727876,386.17088,70.272,0.37712,0.0915,0,0.08199,1,1,0.38834,0.11773,1,-0.99902,0.23177,0,,0.218,0.44805,17.56612,1.001,1,0.57397,0.44295,17.16108,0.99398,1,0,0,17
s14,fruit.bmp,1,6,98.34,98.34,0.09834,20032769275,389.81632,71.27808,0.38068,0.09281,0,0.09835,1,1,0.42343,0.10858,1,-0.99902,0.23177,0,,0.21831,0.44816,17.16892,0.99663,1,0.57425,0.44296,17.06939,0.98961,1,0,0,17
s14,fruit.bmp,1,7,115.85,115.85,0.11585,20032813598,392.97024,72.29184,0.38376,0.09413,0,0.11585,1,1,0.42383,0.11131,1,-0.99902,0.23177,0,,0.21871,0.4482,17.34619,0.99225,1,0.57442,0.44281,17.21157,0.98961,1,0,0,17
s14,fruit.bmp,1,8,131.24,131.24,0.13124,20032852556,395.59168,73.58208,0.38632,0.09581,0,0.13124,1,1,0.4221,0.11936,1,-0.99902,0.23177,0,,0.21982,0.44769,17.46817,0.99225,1,0.57505,0.44306,17.11613,0.98961,1,0,0,17
s14,fruit.bmp,1,9,147.55,147.55,0.14755,20032893861,396.26752,73.3056,0.38698,0.09545,0,0.14755,1,1,0.39695,0.09006,1,-0.99902,0.23177,0,,0.21977,0.44755,17.3402,0.99225,1,0.57519,0.44304,17.17134,0.98961,1,0,0,17
s14,fruit.bmp,1,10,164.11,164.11,0.16411,20032935753,396.91264,73.32864,0.38761,0.09548,0,0.16411,1,1,0.39759,0.09592,1,-0.99902,0.23177,0,,0.21968,0.44783,17.45666,0.9877,1,0.57525,0.44292,17.18708,0.98506,1,0,0,17
s14,fruit.bmp,1,11,180.54,180.54,0.18054,20032977360,399.23712,76.21632,0.38988,0.09924,0,0.18054,1,1,0.42858,0.16306,1,-0.99902,0.23177,0,,0.21977,0.44721,16.83897,0.98315,1,0.57539,0.44275,17.08891,0.98051,1,0,0,17
s14,fruit.bmp,1,12,198.18,198.18,0.19818,20033022016,402.1248,79.53408,0.3927,0.10356,0,0.19818,1,1,0.44343,0.18139,1,-0.99902,0.23177,0,,0.22003,0.44744,16.4949,0.98297,1,0.57546,0.44268,17.07804,0.98033,1,0,0,17
