Subect_ID,Slide_Image,Event,CNT,Time,TIME(2016/06/16 13:46:23.338),TIMETICK(f=2531396),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s18,fruit.bmp,1,2,32.78,0.03278,42379484802,362.65984,226.11456,0.35416,0.29442,0,0.03278,2,1,0.33217,0.2992,1,-0.98926,0.24609,0,,0.20376,0.5021,17.62977,1.03949,1,0.54432,0.48341,19.51615,1.03903,1,0,0,7
s18,fruit.bmp,1,3,52.76,0.05276,42379535412,358.15424,226.84416,0.34976,0.29537,0,0.05277,2,1,0.33217,0.2992,1,-0.98926,0.24609,0,,0.20373,0.50208,17.66594,1.03949,1,0.54418,0.48328,19.45824,1.03903,1,0,0,7
s18,fruit.bmp,1,4,66.12,0.06612,42379569207,362.67008,225.87648,0.35417,0.29411,0,0.06612,2,1,0.37623,0.28782,1,-0.98926,0.24609,0,,0.20316,0.50286,18.18127,1.03949,1,0.54396,0.48327,19.42013,1.03903,1,0,0,7
s18,fruit.bmp,1,5,82.07,0.08207,42379609591,366.31552,225.53856,0.35773,0.29367,0,0.08207,2,1,0.37906,0.29102,1,-0.98926,0.24609,0,,0.20319,0.50296,18.05322,1.03949,1,0.54389,0.48327,19.52463,1.03903,1,0,0,7
s18,fruit.bmp,1,6,98.56,0.09856,42379651319,369.11104,225.93024,0.36046,0.29418,0,0.09856,2,1,0.37958,0.29776,1,-0.98926,0.24609,0,,0.20324,0.50286,18.16534,1.0354,1,0.54398,0.48319,19.43738,1.03088,1,0,0,7
s18,fruit.bmp,1,7,114.94,0.11494,42379692788,370.03264,226.20672,0.36136,0.29454,0,0.11494,2,1,0.36852,0.29741,1,-0.98926,0.24609,0,,0.20299,0.50303,17.94678,1.02726,1,0.54391,0.48317,19.12985,1.02274,1,0,0,7
s18,fruit.bmp,1,8,131.66,0.13166,42379735123,371.27168,226.88256,0.36257,0.29542,0,0.13166,2,1,0.37355,0.30334,1,-0.98926,0.24609,0,,0.20306,0.50233,17.68627,1.01912,1,0.5438,0.48308,19.21896,1.0146,1,0,0,7
s18,fruit.bmp,1,9,147.73,0.14773,42379775789,372.34688,227.75808,0.36362,0.29656,0,0.14773,2,1,0.37404,0.30795,1,-0.98926,0.24609,0,,0.20307,0.5022,18.13569,1.01506,1,0.54394,0.483,19.12395,1.01054,1,0,0,7
s18,fruit.bmp,1,10,164.36,0.16436,42379817873,373.59616,228.80256,0.36484,0.29792,0,0.16436,2,1,0.3783,0.31283,1,-0.98926,0.24609,0,,0.20328,0.50191,18.12937,1.011,1,0.54408,0.48239,18.95834,1.00648,1,0,0,7
s18,fruit.bmp,1,11,181.84,0.18184,42379862135,372.57216,229.48608,0.36384,0.29881,0,0.18184,2,1,0.35189,0.30947,1,-0.98926,0.24609,0,,0.20327,0.50167,17.97312,1.00694,1,0.544,0.4822,19.00907,1.00242,1,0,0,7
s18,fruit.bmp,1,12,198.22,0.19822,42379903608,371.78368,230.57664,0.36307,0.30023,0,0.19822,2,1,0.35302,0.31875,1,-0.98926,0.24609,0,,0.20296,0.50114,17.85217,0.9988,1,0.54399,0.48218,19.03495,0.99428,1,0,0,7
s18,fruit.bmp,1,13,213.5,0.2135,42379942266,372.23424,230.76864,0.36351,0.30048,0,0.2135,2,1,0.3696,0.30403,1,-0.98926,0.24609,0,,0.20282,0.5011,18.02498,0.99066,1,0.54396,0.48214,19.04007,0.99022,1,0,0,7
s18,fruit.bmp,1,14,229.98,0.22998,42379984013,374.05696,231.76704,0.36529,0.30178,0,0.22998,2,1,0.39207,0.32126,1,-0.98926,0.24609,0,,0.20308,0.5015,17.54654,0.99066,1,0.54407,0.4822,18.85336,0.99022,1,0,0,7
s18,fruit.bmp,1,15,246.99,0.24699,42380027091,375.64416,232.33536,0.36684,0.30252,0,0.247,2,1,0.39161,0.31432,1,-0.98926,0.2474,0,,0.203,0.50173,17.51472,0.99474,1,0.54407,0.4822,18.85336,0.99837,1,0,0,7
