Subject_ID,Slide_Image,Event,CNT,Time,TIME(2016/06/16 13:56:49.848),TIMETICK(f=2531396),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s19,fruit.bmp,1,0,0,0,43965244868,652.3392,499.1616,0.63705,0.64995,0,0,1,1,0.4953,0.43379,1,-0.96094,0.32031,0,,0.2631,0.46203,16.47865,1.00335,1,0.64626,0.52963,15.79473,1.0015,1,0,0,17
s19,fruit.bmp,1,1,17.07,0.01707,43965288062,642.68288,488.20224,0.62762,0.63568,0,0.01706,1,1,0.49568,0.43594,1,-0.96094,0.32031,3,,0.26287,0.46171,17.00041,0.99906,1,0.64618,0.529,15.5625,1.0015,1,0,0,17
s19,fruit.bmp,1,8,131.06,0.13106,43965576625,540.0064,333.1968,0.52735,0.43385,0.08179,0.04927,2,1,0.53107,0.42272,1,-0.96094,0.32031,0,,0.25676,0.4604,16.5135,1.01193,1,0.64011,0.52737,15.89095,1.01437,1,0,0,17
s19,fruit.bmp,1,9,147.45,0.14745,43965618130,542.1568,332.06784,0.52945,0.43238,0.08179,0.06567,2,1,0.53783,0.4265,1,-0.96094,0.32031,0,,0.25571,0.45936,16.58324,1.01193,1,0.63912,0.52597,15.23151,1.01437,1,0,0,17
s19,fruit.bmp,1,10,164.25,0.16425,43965660652,543.58016,331.3152,0.53084,0.4314,0.08179,0.08247,2,1,0.53783,0.4265,1,-0.96094,0.32031,0,,0.25534,0.45924,16.98401,1.01193,1,0.63895,0.52597,15.30553,1.01437,1,0,0,17
s19,fruit.bmp,1,11,181.13,0.18113,43965703374,542.90432,331.88352,0.53018,0.43214,0.08179,0.09934,2,1,0.52623,0.43657,1,-0.96094,0.32031,0,,0.25602,0.4616,16.67142,1.01193,1,0.63951,0.529,15.87712,1.01437,1,0,0,17
s19,fruit.bmp,1,12,197.27,0.19727,43965744231,542.88384,331.8144,0.53016,0.43205,0.08179,0.11549,2,1,0.52998,0.43141,1,-0.96094,0.32031,0,,0.25542,0.46407,16.49379,1.01193,1,0.63983,0.53122,15.81196,1.01437,1,0,0,17
s19,fruit.bmp,1,13,215.15,0.21515,43965789483,542.83264,331.9296,0.53011,0.4322,0.08179,0.13336,2,1,0.52976,0.43339,1,-0.96094,0.32031,0,,0.25593,0.46374,16.69211,1.01193,1,0.6395,0.53083,15.89743,1.01008,1,0,0,17
s19,fruit.bmp,1,14,230.13,0.23013,43965827396,541.78816,332.10624,0.52909,0.43243,0.08179,0.14834,2,1,0.51989,0.43456,1,-0.96094,0.32031,0,,0.25239,0.46149,16.77147,1.00764,1,0.63638,0.52851,15.50757,1.00579,1,0,0,17
s19,fruit.bmp,1,15,246.22,0.24622,43965868119,543.67232,332.98176,0.53093,0.43357,0.08179,0.16443,2,1,0.54937,0.44497,1,-0.96094,0.32031,0,,0.25033,0.46147,16.59985,1.00335,1,0.63423,0.52795,14.93991,1.0015,1,0,0,17
s19,fruit.bmp,1,16,262.94,0.26294,43965910458,545.28,333.5808,0.5325,0.43435,0.08179,0.18115,2,1,0.54976,0.44292,1,-0.96094,0.32031,0,,0.2501,0.46148,16.92097,1.00348,1,0.6337,0.52806,15.34203,1.00591,1,0,0,17
