Subject_ID,Slide_Image,Event,CNT,TIME,TIME(2016/06/14 09:07:19.967),TIMETICK(f=2531455),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s1,intro.bmp,2,0,0,0,4210254179,551.34208,501.14304,0.53842,0.65253,0,0.00001,1,1,0.55397,0.66872,1,-0.98145,0.30469,3,,0.27991,0.81627,20.36022,1.00597,1,0.59732,0.84669,17.46628,1.00597,1,0,0,35
s1,intro.bmp,2,1,15.4,0.0154,4210293145,555.15136,503.97696,0.54214,0.65622,0,0.0154,1,1,0.58308,0.69684,1,-0.98145,0.30469,0,,0.28017,0.81678,20.2999,1.00108,1,0.59746,0.84702,17.53569,1.00108,1,0,0,35
s1,intro.bmp,2,2,31.94,0.03194,4210334983,558.0288,505.0368,0.54495,0.6576,0,0.03193,1,1,0.57864,0.67415,1,-0.98145,0.30469,0,,0.28026,0.8169,20.33151,0.9962,1,0.59738,0.84711,17.57195,0.9962,1,0,0,35
s1,intro.bmp,2,3,48.58,0.04858,4210377123,560.46592,506.00448,0.54733,0.65886,0,0.04857,1,1,0.57829,0.67535,1,-0.98145,0.30469,0,,0.28026,0.8169,20.33151,0.9962,1,0.59738,0.84711,17.57195,0.99132,1,0,0,35
s1,intro.bmp,2,4,64.67,0.06467,4210417851,558.7456,505.06752,0.54565,0.65764,0,0.06466,1,1,0.52215,0.64055,1,-0.98145,0.30469,0,,0.2803,0.81695,20.25767,0.99132,1,0.59756,0.84746,17.47766,0.99132,1,0,0,35
s1,intro.bmp,2,5,81.06,0.08106,4210459371,557.39392,505.09824,0.54433,0.65768,0,0.08107,1,1,0.52445,0.65828,1,-0.98145,0.30469,0,,0.28028,0.81708,20.14483,0.99132,1,0.59751,0.84764,17.63636,0.99132,1,0,0,35
s1,intro.bmp,2,6,97.38,0.09738,4210500687,556.20608,505.0752,0.54317,0.65765,0,0.09739,1,1,0.52469,0.65714,1,-0.98145,0.30469,0,,0.28028,0.81708,20.14483,0.99132,1,0.59751,0.84764,17.63636,0.9962,1,0,0,35
s1,intro.bmp,2,7,113.8,0.1138,4210542255,556.21632,506.82624,0.54318,0.65993,0,0.11381,1,1,0.54337,0.6986,1,-0.98145,0.30469,0,,0.28017,0.81764,20.09562,0.9962,1,0.59744,0.84805,17.76438,1.00108,1,0,0,35
s1,intro.bmp,2,8,130.39,0.13039,4210584209,555.29472,505.6128,0.54228,0.65835,0,0.13038,1,1,0.5259,0.62991,1,-0.98145,0.30469,0,,0.2801,0.81787,20.21764,1.00108,1,0.59722,0.84823,17.6214,1.00597,1,0,0,35
s1,intro.bmp,2,9,146.64,0.14664,4210625375,554.45504,504.52224,0.54146,0.65693,0,0.14664,1,1,0.5259,0.62991,1,-0.98145,0.30469,0,,0.2801,0.81787,20.21764,1.00108,1,0.59722,0.84823,17.6214,1.00597,1,0,0,35
s1,intro.bmp,2,10,163.46,0.16346,4210667964,554.97728,504.4992,0.54197,0.6569,0,0.16346,1,1,0.55217,0.65647,1,-0.98145,0.30469,0,,0.27999,0.81783,20.25421,1.00108,1,0.59707,0.84806,17.57443,1.00108,1,0,0,35
s1,intro.bmp,2,11,179.6,0.1796,4210708820,554.20928,505.85088,0.54122,0.65866,0,0.17961,1,1,0.52562,0.69562,1,-0.98145,0.30469,0,,0.28012,0.81778,20.31664,1.00108,1,0.59727,0.84801,17.62433,1.00108,1,0,0,35
s1,intro.bmp,2,12,196.01,0.19601,4210750341,553.50272,507.01056,0.54053,0.66017,0,0.19601,1,1,0.52533,0.69334,1,-0.98145,0.30469,0,,0.28012,0.81778,20.31664,1.00597,1,0.59727,0.84801,17.62433,1.00597,1,0,0,35
s1,intro.bmp,2,13,212.39,0.21239,4210791830,554.20928,506.74176,0.54122,0.65982,0,0.2124,1,1,0.55714,0.6518,1,-0.98145,0.30469,0,,0.28048,0.81703,20.15079,1.01085,1,0.59759,0.84739,17.651,1.01085,1,0,0,35
s1,intro.bmp,2,14,228.87,0.22887,4210833503,555.38688,505.60512,0.54237,0.65834,0,0.22886,1,1,0.56995,0.62285,1,-0.98145,0.30469,0,,0.28051,0.81685,20.44098,1.01085,1,0.59766,0.84721,17.68925,1.01085,1,0,0,35
s1,intro.bmp,2,15,245.38,0.24538,4210875337,556.47232,504.56064,0.54343,0.65698,0,0.24539,1,1,0.56995,0.62285,1,-0.98145,0.30469,0,,0.28051,0.81685,20.44098,1.01085,1,0.59766,0.84721,17.68925,1.01085,1,0,0,35
s1,intro.bmp,2,16,261.83,0.26183,4210916961,552.8576,504.73728,0.5399,0.65721,0,0.26183,1,1,0.44809,0.66317,1,-0.98145,0.30469,0,,0.27913,0.81585,20.38466,1.01085,1,0.59629,0.84569,18.15945,1.01573,1,0,0,34
s1,intro.bmp,2,17,278.5,0.2785,4210959170,547.1744,503.232,0.53435,0.65525,0,0.2785,1,1,0.38447,0.60236,1,-0.98145,0.30469,0,,0.27788,0.81467,20.24338,1.01573,1,0.59502,0.84442,18.16795,1.02062,1,0,0,34
