Subject_ID,Slide_Image,Evetnt,CNT,Time,TIME(2016/06/16 15:23:15.026),TIMETICK(f=2531396),FPOGX,FPOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s20,fruit.bmp,1,0,0,0,57091039179,488.17152,531.08736,0.47673,0.69152,0,0,1,1,0.52366,0.57516,1,-0.97852,0.3151,0,,0.34017,0.43716,20.91154,1.02069,1,0.72586,0.44256,19.39725,1.01538,1,0,0,9
s20,fruit.bmp,1,1,16.07,0.01607,57091079857,491.02848,526.16448,0.47952,0.68511,0,0.01607,1,1,0.52422,0.58251,1,-0.97852,0.3151,3,,0.33667,0.43301,21.1991,1.01631,1,0.72308,0.43873,19.05129,1.011,1,0,0,9
s20,fruit.bmp,1,2,32.48,0.03248,57091121412,493.57824,521.71776,0.48201,0.67932,0,0.03248,1,1,0.52427,0.58084,1,-0.97852,0.3151,0,,0.33675,0.43317,21.47443,1.01631,1,0.72296,0.43781,19.46983,1.02026,1,0,0,9
s20,fruit.bmp,1,3,49.65,0.04965,57091164848,493.312,518.27712,0.48175,0.67484,0,0.04964,1,1,0.47705,0.59421,1,-0.97852,0.3151,0,,0.33886,0.42306,20.35617,1.02557,1,0.72587,0.4282,18.79567,1.02952,1,0,0,9
s20,fruit.bmp,1,7,113.8,0.1138,57091327269,521.82016,437.76,0.50959,0.57,0.06484,0.04897,2,1,0.58983,0.45912,1,-0.97852,0.3151,0,,0.33695,0.41879,20.26935,1.02236,1,0.72346,0.42303,18.53753,1.02143,1,0,0,9
s20,fruit.bmp,1,14,229.12,0.22912,57091619170,553.70752,234.53952,0.54073,0.30539,0.17952,0.0496,3,1,0.55372,0.31922,1,-0.97852,0.3151,0,,0.33845,0.40256,20.10871,0.98582,1,0.72558,0.40566,17.59538,0.98489,1,0,0,9
s20,fruit.bmp,1,15,245.23,0.24523,57091659941,547.40992,242.33472,0.53458,0.31554,0.17952,0.0657,3,1,0.50999,0.35611,1,-0.97852,0.3151,0,,0.33518,0.40854,20.25452,0.9902,1,0.72234,0.41256,18.74969,0.98927,1,0,0,9
s20,fruit.bmp,1,16,261.94,0.26194,57091702266,549.49888,242.41152,0.53662,0.31564,0.17952,0.08242,3,1,0.5468,0.31616,1,-0.97852,0.3151,0,,0.33256,0.41197,20.26047,0.99458,1,0.72068,0.41625,18.69398,0.99366,1,0,0,9
s20,fruit.bmp,1,17,280.79,0.28079,57091749986,550.98368,242.47296,0.53807,0.31572,0.17952,0.10127,3,1,0.5468,0.31616,1,-0.97852,0.3151,0,,0.33292,0.41207,20.6249,0.99458,1,0.72031,0.41703,18.25375,0.99366,1,0,0,9
s20,fruit.bmp,1,18,295.54,0.29554,57091787315,548.85376,244.75392,0.53599,0.31869,0.17952,0.11602,3,1,0.5214,0.33953,1,-0.97852,0.3151,0,,0.33465,0.40953,20.37858,0.99458,1,0.72251,0.41394,18.06412,0.99366,1,0,0,9
s20,fruit.bmp,1,19,311.15,0.31115,57091826826,549.72416,242.0352,0.53684,0.31515,0.17952,0.13163,3,1,0.54366,0.28681,1,-0.97852,0.3151,0,,0.33594,0.40336,18.91832,0.99458,1,0.72345,0.40879,17.49171,0.99366,1,0,0,9
s20,fruit.bmp,1,20,327.45,0.32745,57091868078,550.42048,239.51616,0.53752,0.31187,0.17952,0.14793,3,1,0.54362,0.28237,1,-0.97852,0.3151,0,,0.33572,0.40376,20.39909,0.99896,1,0.72388,0.40834,18.81242,1.00236,1,0,0,9
s20,fruit.bmp,1,21,344.05,0.34405,57091910103,548.10624,237.8496,0.53526,0.3097,0.17952,0.16453,3,1,0.51265,0.288,1,-0.97852,0.3151,0,,0.33631,0.39974,20.43609,1.00767,1,0.72425,0.40413,18.97942,1.00668,1,0,0,9
s20,fruit.bmp,1,22,360.45,0.36045,57091951636,549.28384,234.91584,0.53641,0.30588,0.17952,0.18093,3,1,0.54912,0.26381,1,-0.97852,0.3151,0,,0.33567,0.4033,20.14466,1.01199,1,0.72382,0.40757,18.65003,1.011,1,0,0,9
s20,fruit.bmp,1,23,377.35,0.37735,57091994406,550.26688,232.3584,0.53737,0.30255,0.17952,0.19783,3,1,0.54891,0.26257,1,-0.97852,0.3151,0,,0.33567,0.40354,19.47947,1.01631,1,0.72343,0.40759,17.0442,1.011,1,0,0,9
s20,fruit.bmp,1,24,394.95,0.39495,57092038955,549.35552,232.75776,0.53648,0.30307,0.17952,0.21543,3,1,0.52481,0.30993,1,-0.97852,0.3151,0,,0.33169,0.40933,20.17577,1.01631,1,0.72037,0.41387,18.42481,1.01538,1,0,0,9
s20,fruit.bmp,1,25,409.79,0.40979,57092076520,549.41696,230.56896,0.53654,0.30022,0.17952,0.23027,3,1,0.53751,0.26029,1,-0.97852,0.3151,0,,0.33027,0.40747,19.54723,1.02069,1,0.71933,0.41156,18.11243,1.01977,1,0,0,9
s20,fruit.bmp,1,26,426.2,0.4262,57092118074,549.4784,228.65664,0.5366,0.29773,0.17952,0.24668,3,1,0.53751,0.26029,1,-0.97852,0.3151,0,,0.3306,0.40745,20.31067,1.02069,1,0.71954,0.41146,18.93321,1.01977,1,0,0,9
s20,fruit.bmp,1,27,443.35,0.44335,57092161473,550.83008,229.37856,0.53792,0.29867,0.17952,0.26382,3,1,0.55896,0.3137,1,-0.97852,0.3151,0,,0.33323,0.39921,18.62737,1.02069,1,0.72201,0.40294,17.44446,1.01538,1,0,0,9
s20,fruit.bmp,1,28,459.07,0.45907,57092201276,552.18176,229.632,0.53924,0.299,0.17952,0.27955,3,1,0.56172,0.30469,1,-0.97852,0.3151,0,,0.33509,0.39787,19.06924,1.01199,1,0.72376,0.40178,17.3721,1.00668,1,0,0,9
