Subject_ID,Slide_Image,Event,CNT,Time,TIME(2016/06/23 15:20:38.225),TIMETICK(f=2531445),FPOGX,FOGY,Xpos,Ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
s32,fruit.bmp,1,14,230.14,0.23014,23785603770,475.87328,371.56608,0.46472,0.48381,0.18046,0.04968,2,1,0.44361,0.45431,1,-0.96582,0.31771,0,,0.3101,0.744,16.8679,0.95133,1,0.64009,0.67213,16.32223,0.95451,1,0,0,8
s32,fruit.bmp,1,15,246.62,0.24662,23785645484,477.5424,367.00416,0.46635,0.47787,0.18046,0.06616,2,1,0.47286,0.45412,1,-0.96582,0.31771,0,,0.31038,0.7443,16.80058,0.95133,1,0.64053,0.67279,16.76704,0.95451,1,0,0,8
s32,fruit.bmp,1,16,262.74,0.26274,23785686286,478.58688,364.25472,0.46737,0.47429,0.18046,0.08228,2,1,0.47247,0.45637,1,-0.96582,0.31771,0,,0.3106,0.74432,16.86753,0.95133,1,0.6404,0.6726,16.41427,0.95017,1,0,0,8
s32,fruit.bmp,1,17,279.23,0.27923,23785728038,474.51136,366.55872,0.46339,0.47729,0.18046,0.09877,2,1,0.43948,0.49531,1,-0.96582,0.31771,0,,0.31132,0.7439,16.95375,0.947,1,0.641,0.67261,16.17009,0.94583,1,0,0,8
s32,fruit.bmp,1,18,295.51,0.29551,23785769249,466.95424,363.11808,0.45601,0.47281,0.18046,0.11506,2,1,0.40439,0.44146,1,-0.96582,0.31771,0,,0.31046,0.74211,16.75525,0.94266,1,0.63954,0.67117,16.97062,0.94149,1,0,0,8
s32,fruit.bmp,1,19,312.15,0.31215,23785811372,461.16864,360.62208,0.45036,0.46956,0.18046,0.13169,2,1,0.40517,0.44357,1,-0.96582,0.31771,0,,0.31033,0.74236,16.97393,0.93832,1,0.63924,0.67037,16.85762,0.94149,1,0,0,8
s32,fruit.bmp,1,20,328.45,0.32845,23785852632,455.22944,356.90496,0.44456,0.46472,0.18046,0.14799,2,1,0.39229,0.4211,1,-0.96582,0.31771,0,,0.31038,0.7419,17.43627,0.93832,1,0.63925,0.67051,17.02304,0.94149,1,0,0,8
s32,fruit.bmp,1,21,345.87,0.34587,23785896724,450.41664,353.856,0.43986,0.46075,0.18046,0.16541,2,1,0.39287,0.4211,1,-0.96582,0.31771,0,,0.31017,0.74228,17.47241,0.93832,1,0.63893,0.67106,17.55651,0.94149,1,0,0,8
s32,fruit.bmp,1,22,364.42,0.36442,23785943684,446.40256,351.3216,0.43594,0.45745,0.18046,0.18396,2,1,0.39287,0.4211,1,-0.96582,0.31771,0,,0.31022,0.74245,17.62909,0.93832,1,0.63892,0.67109,17.52696,0.94149,1,0,0,8
s32,fruit.bmp,1,23,377.72,0.37772,23785977356,441.76384,349.24032,0.43141,0.45474,0.18046,0.19726,2,1,0.37704,0.42231,1,-0.96582,0.31771,0,,0.30937,0.74286,17.42959,0.93832,1,0.63833,0.67109,17.47948,0.94149,1,0,0,8
