Subject_ID,Slide_Image,Event,CNT,TIME(2016/06/14 13:19:33.936),TIME,TIMETICK(f=2531455),FPOGX,FPOGY,xpos,ypos,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN
S3,fruit.bmp,1,0,0,0,42520485522,392.56064,105.82272,0.38336,0.13779,0,0,1,1,0.38896,0.18514,1,-0.95605,0.21875,0,,0.11284,0.14935,14.84261,0.96985,1,0.48889,0.1286,15.79951,0.96615,1,0,0,15
S3,fruit.bmp,1,1,0.01833,18.33,42520531914,392.91904,107.93472,0.38371,0.14054,0,0.01833,1,1,0.3896,0.18729,1,-0.95605,0.21875,0,,0.1127,0.1493,15.19167,0.96565,1,0.48876,0.12834,15.99376,0.96615,1,0,0,15
S3,fruit.bmp,1,2,0.03288,32.88,42520568755,391.0656,109.10976,0.3819,0.14207,0,0.03288,1,1,0.34936,0.16969,1,-0.95605,0.21875,0,,0.11238,0.14902,15.21572,0.96565,1,0.48866,0.12824,15.9629,0.96615,1,0,0,15
S3,fruit.bmp,1,3,0.04945,49.45,42520610708,390.27712,109.57056,0.38113,0.14267,0,0.04946,1,1,0.36653,0.15399,1,-0.95605,0.21875,0,,0.11234,0.14924,15.02346,0.96985,1,0.48846,0.12877,15.90254,0.97034,1,0,0,15
S3,fruit.bmp,1,4,0.06596,65.96,42520652491,389.57056,109.98528,0.38044,0.14321,0,0.06596,1,1,0.36652,0.15396,1,-0.95605,0.21875,0,,0.11227,0.14946,15.04186,0.96988,1,0.48844,0.12881,15.97978,0.97037,1,0,0,15
S3,fruit.bmp,1,5,0.08315,83.15,42520696008,389.59104,109.81632,0.38046,0.14299,0,0.08315,1,1,0.38103,0.13846,1,-0.95605,0.21875,0,,0.11179,0.15045,15.50287,0.96991,1,0.48794,0.12921,15.52772,0.97457,1,0,0,15
S3,fruit.bmp,1,6,0.09851,98.51,42520734885,390.22592,109.248,0.38108,0.14225,0,0.09851,1,1,0.39463,0.12586,1,-0.95605,0.21875,0,,0.1114,0.15097,15.44715,0.97411,1,0.4878,0.12909,15.8119,0.97877,1,0,0,15
S3,fruit.bmp,1,7,0.1149,114.9,42520776390,390.74816,108.41856,0.38159,0.14117,0,0.11491,1,1,0.39326,0.11634,1,-0.95605,0.21875,0,,0.11148,0.15163,15.24235,0.98247,1,0.48743,0.12976,15.45555,0.98713,1,0,0,15
S3,fruit.bmp,1,8,0.13142,131.42,42520818210,391.20896,109.37088,0.38204,0.14241,0,0.13142,1,1,0.39283,0.17224,1,-0.95605,0.21875,0,,0.11129,0.15216,15.47515,0.99084,1,0.48736,0.13054,16.11633,0.99133,1,0,0,15
S3,fruit.bmp,1,9,0.14782,147.82,42520859711,391.38304,110.67648,0.38221,0.14411,0,0.14782,1,1,0.38666,0.18671,1,-0.95605,0.21875,0,,0.11106,0.15234,15.57283,0.99084,1,0.48745,0.13056,15.95403,0.99133,1,0,0,15
S3,fruit.bmp,1,10,0.16452,164.52,42520901995,391.5776,112.0128,0.3824,0.14585,0,0.16452,1,1,0.38735,0.19113,1,-0.95605,0.21875,0,,0.11095,0.15234,15.54156,0.98667,1,0.48729,0.13077,16.13786,0.98716,1,0,0,15
S3,fruit.bmp,1,11,0.18106,181.06,42520943866,392.38656,111.4752,0.38319,0.14515,0,0.18106,1,1,0.40445,0.12616,1,-0.95605,0.21875,0,,0.111,0.15256,15.72917,0.9825,1,0.48704,0.13101,15.99886,0.98716,1,0,0,15
S3,fruit.bmp,1,12,0.19735,197.35,42520985115,392.57088,111.46752,0.38337,0.14514,0,0.19736,1,1,0.38851,0.14497,1,-0.95605,0.21875,0,,0.11089,0.15302,15.45464,0.9825,1,0.48687,0.13098,15.79595,0.98716,1,0,0,15
S3,fruit.bmp,1,13,0.21407,214.07,42521027420,392.72448,111.34464,0.38352,0.14498,0,0.21407,1,1,0.38783,0.14035,1,-0.95605,0.21875,0,,0.11054,0.15307,15.37535,0.98667,1,0.48632,0.13091,15.69661,0.99133,1,0,0,15
S3,fruit.bmp,1,14,0.23033,230.33,42521068581,393.6256,110.16192,0.3844,0.14344,0,0.23033,1,1,0.41062,0.09725,1,-0.95605,0.21875,0,,0.11008,0.15396,15.52717,0.99084,1,0.48603,0.13134,15.77127,0.99133,1,0,0,15
S3,fruit.bmp,1,15,0.24671,246.71,42521110063,394.02496,109.56288,0.38479,0.14266,0,0.24672,1,1,0.39697,0.11841,1,-0.95605,0.21875,0,,0.1098,0.15381,15.93023,0.99084,1,0.48599,0.13137,15.75613,0.99133,1,0,0,15
S3,fruit.bmp,1,16,0.26348,263.48,42521152508,394.40384,109.06368,0.38516,0.14201,0,0.26348,1,1,0.39703,0.12104,1,-0.95605,0.21875,0,,0.10973,0.15361,15.90903,0.99084,1,0.48595,0.13134,15.89781,0.98713,1,0,0,15
S3,fruit.bmp,1,17,0.28025,280.25,42521194965,393.82016,107.83488,0.38459,0.14041,0,0.28025,1,1,0.36557,0.08782,1,-0.94531,0.22396,0,,0.10967,0.15324,15.44895,0.98664,1,0.48583,0.13116,15.96254,0.9871,1,0,0,15
S3,fruit.bmp,1,18,0.29575,295.75,42521234212,393.51296,107.46624,0.38429,0.13993,0,0.29576,1,1,0.37434,0.12353,1,-0.94531,0.22396,0,,0.10925,0.15337,15.50693,0.98661,1,0.48574,0.13114,16.09035,0.98707,1,0,0,15
S3,fruit.bmp,1,19,0.31232,312.32,42521276148,393.22624,107.06688,0.38401,0.13941,0,0.31232,1,1,0.37418,0.12115,1,-0.93555,0.22526,0,,0.10934,0.1531,15.4462,0.98658,1,0.48565,0.13066,15.72686,0.99124,1,0,0,15
S3,fruit.bmp,1,20,0.32892,328.92,42521318176,393.66656,106.28352,0.38444,0.13839,0,0.32893,1,1,0.39979,0.10184,1,-0.90527,0.23307,0,,0.10866,0.15378,15.82418,0.99075,1,0.48486,0.13075,16.16921,0.99124,1,0,0,15
S3,fruit.bmp,1,21,0.34988,349.88,42521371223,393.82016,105.408,0.38459,0.13725,0,0.34988,1,1,0.3902,0.09497,1,-0.90527,0.23307,0,,0.10852,0.15431,16.13659,0.99075,1,0.48471,0.13099,16.12286,0.99124,1,0,0,15
S3,fruit.bmp,1,22,0.36153,361.53,42521400731,393.984,104.72448,0.38475,0.13636,0,0.36154,1,1,0.39091,0.10244,1,-0.86426,0.24219,0,,0.10843,0.15428,15.67505,0.98658,1,0.48462,0.13134,15.92262,0.98287,1,0,0,15
S3,fruit.bmp,1,23,0.3784,378.4,42521443435,394.31168,105.46176,0.38507,0.13732,0,0.37841,1,1,0.39752,0.1749,1,-0.86426,0.24219,0,,0.10854,0.1546,15.44675,0.97821,1,0.48446,0.13148,15.7821,0.97451,1,0,0,15
S3,fruit.bmp,1,24,0.39784,397.84,42521492629,394.94656,105.87648,0.38569,0.13786,0,0.39784,1,1,0.4106,0.15923,1,-0.82422,0.25,0,,0.10855,0.15439,15.50536,0.97405,1,0.48462,0.13137,15.85935,0.97034,1,0,0,15
S3,fruit.bmp,1,25,0.41077,410.77,42521525372,395.56096,106.26816,0.38629,0.13837,0,0.41077,1,1,0.4106,0.15923,1,-0.82422,0.25,0,,0.10856,0.15434,15.56194,0.97405,1,0.48468,0.13139,15.78344,0.97034,1,0,0,15
S3,fruit.bmp,1,26,0.42704,427.04,42521566563,395.97056,106.57536,0.38669,0.13877,0,0.42705,1,1,0.40381,0.15593,1,-0.78223,0.25911,0,,0.10825,0.15387,16.02177,0.97405,1,0.4846,0.13126,15.97816,0.97034,1,0,0,15
S3,fruit.bmp,1,27,0.44354,443.54,42521608308,395.91936,106.54464,0.38664,0.13873,0,0.44354,1,1,0.38441,0.13668,1,-0.78223,0.25911,0,,0.10818,0.15355,15.35345,0.96985,1,0.48461,0.13101,16.28102,0.96615,1,0,0,15
S3,fruit.bmp,1,28,0.46017,460.17,42521650437,395.88864,106.54464,0.38661,0.13873,0,0.46018,1,1,0.38505,0.13889,1,-0.71289,0.27083,0,,0.10848,0.15351,15.23934,0.96565,1,0.48457,0.13081,16.25848,0.96615,1,0,0,15
S3,fruit.bmp,1,29,0.47703,477.03,42521693098,395.74528,106.33728,0.38647,0.13846,0,0.47703,1,1,0.3805,0.12643,1,-0.71289,0.27083,0,,0.10841,0.15394,15.88211,0.96565,1,0.48462,0.13104,16.07592,0.97031,1,0,0,15
S3,fruit.bmp,1,30,0.49659,496.59,42521742617,395.79648,106.80576,0.38652,0.13907,0,0.49659,1,1,0.38856,0.16718,1,-0.61914,0.28385,0,,0.10804,0.1543,15.80924,0.97402,1,0.4845,0.13133,15.83833,0.97868,1,0,0,15
S3,fruit.bmp,1,31,0.51092,510.92,42521778898,395.80672,107.11296,0.38653,0.13947,0,0.51092,1,1,0.38719,0.15803,1,-0.61914,0.28385,0,,0.10773,0.15452,15.90181,0.98238,1,0.48439,0.1318,15.81417,0.98704,1,0,0,15
S3,fruit.bmp,1,32,0.52626,526.26,42521817719,395.27424,107.6352,0.38601,0.14015,0,0.52626,1,1,0.3593,0.16774,1,-0.50391,0.29948,0,,0.10752,0.15488,15.64736,0.99075,1,0.48402,0.13214,16.37866,0.99124,1,0,0,15
S3,fruit.bmp,1,33,0.54213,542.13,42521857884,394.63936,108.18048,0.38539,0.14086,0,0.54213,1,1,0.37361,0.16253,1,-0.41211,0.30729,0,,0.10764,0.1549,15.62835,0.99494,1,0.48406,0.13202,16.15739,0.99544,1,0,0,15
S3,fruit.bmp,1,34,0.55903,559.03,42521900692,393.96352,108.54912,0.38473,0.14134,0,0.55904,1,1,0.37219,0.15535,1,-0.41211,0.30729,0,,0.10757,0.1546,16.00333,1.0039,1,0.48413,0.13209,15.97122,1.0002,1,0,0,15
S3,fruit.bmp,1,35,0.57547,575.47,42521942291,393.65632,108.28032,0.38443,0.14099,0,0.57547,1,1,0.38833,0.1044,1,-0.31836,0.3112,0,,0.10787,0.15466,16.06598,1.00866,1,0.48459,0.13122,15.8486,1.00496,1,0,0,15
