"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",0,0.15057,0
"2","fruit.bmp",1,0.96671,1
"3","fruit.bmp",6,1.22669,6
"4","fruit.bmp",7,0.47639,7
"5","fruit.bmp",7,0.59184,7
"6","fruit.bmp",8,0.44288,8
"7","intro.bmp",5,0.36213,5
"8","intro.bmp",6,0.57073,6
"9","intro.bmp",5,0.31274,5
"10","intro.bmp",4,0.31195,4
"11","intro.bmp",7,0.44391,7
"12","intro.bmp",8,0.29671,8
"13","intro.bmp",9,0.22962,9
"14","intro.bmp",6,0.26293,6
"15","intro.bmp",5,0.41074,5
"16","intro.bmp",4,0.22931,4
"17","intro.bmp",5,0.24593,5
"18","intro.bmp",6,0.55888,6
"19","intro.bmp",5,0.31248,5
"20","intro.bmp",5,0.19653,5
"21","intro.bmp",4,0.36198,4
"22","intro.bmp",8,0.34245,8
"23","intro.bmp",0,0.36104,0
"24","intro.bmp",0,0.32552,0
"25","intro.bmp",6,0.3121,6
"26","intro.bmp",5,0.49395,5
"27","intro.bmp",4,0.3778,4
"28","intro.bmp",8,0.29547,8
"29","intro.bmp",0,0.19853,0
"30","intro.bmp",7,0.24647,7
"31","intro.bmp",5,0.2127,5
"32","intro.bmp",6,0.21114,6
"33","intro.bmp",0,0.08231,0
"34","intro.bmp",5,1.19776,5
"35","intro.bmp",4,0.46066,4
"36","intro.bmp",1,0.34478,1
"37","intro.bmp",2,0.28426,2
"38","intro.bmp",3,0.24628,3
"39","intro.bmp",6,0.29993,6
"40","intro.bmp",7,0.29562,7
"41","intro.bmp",8,0.31134,8
"42","intro.bmp",0,0.23077,0
"43","intro.bmp",5,0.59135,5
"44","intro.bmp",4,0.19691,4
"45","intro.bmp",9,0.19742,9
"46","intro.bmp",6,0.29832,6
"47","intro.bmp",3,0.2954,3
"48","intro.bmp",0,0.25968,0
"49","intro.bmp",8,0.31229,8
"50","intro.bmp",4,0.41122,4
"51","intro.bmp",9,0.24709,9
"52","intro.bmp",2,0.26189,2
"53","intro.bmp",0,0.35843,0
"54","intro.bmp",9,0.2631,9
"55","intro.bmp",2,0.34465,2
"56","intro.bmp",6,0.327,6
"57","intro.bmp",3,0.21386,3
"58","intro.bmp",1,0.31378,1
"59","intro.bmp",4,0.26395,4
"60","intro.bmp",5,0.24689,5
"61","intro.bmp",1,0.34204,1
"62","intro.bmp",4,0.36177,4
"63","intro.bmp",6,0.21393,6
"64","intro.bmp",0,0.23014,0
"65","intro.bmp",4,0.31191,4
"66","intro.bmp",6,0.25748,6
"67","intro.bmp",3,0.34315,3
"68","intro.bmp",6,0.32872,6
"69","intro.bmp",3,0.44401,3
"70","0.bmp",3,0.88882,3
"71","0.bmp",2,0.34555,2
"72","0.bmp",5,0.27846,5
"73","0.bmp",1,0.2459,1
"74","0.bmp",5,0.37746,5
"75","0.bmp",5,0.1471,5
"76","0.bmp",4,0.23047,4
"77","0.bmp",7,0.24591,7
"78","0.bmp",1,0.19594,1
"79","0.bmp",6,0.37612,6
"80","0.bmp",4,0.35923,4
"81","0.bmp",5,0.21407,5
"82","0.bmp",0,0.26341,0
