"","slide","initalAOI","fixationTime","correctedAOI"
"1","fruit.bmp",2,0.21363,2
"2","fruit.bmp",0,0.44453,0
"3","fruit.bmp",1,0.22997,1
"4","fruit.bmp",1,0.50984,1
"5","fruit.bmp",3,0.29726,3
"6","fruit.bmp",3,0.34489,3
"7","fruit.bmp",0,0.12774,0
"8","fruit.bmp",6,0.27956,6
"9","fruit.bmp",0,0.23047,0
"10","fruit.bmp",0,0.24644,0
"11","fruit.bmp",0,0.1643,0
"12","fruit.bmp",1,0.06609,1
"13","fruit.bmp",1,0.77248,1
"14","fruit.bmp",2,0.24529,2
"15","fruit.bmp",1,0.214,1
"16","fruit.bmp",1,0.41321,1
"17","fruit.bmp",7,0.19738,7
"18","fruit.bmp",0,0.19555,0
"19","fruit.bmp",7,0.52473,7
"20","fruit.bmp",9,0.78855,9
"21","fruit.bmp",6,0.29607,6
"22","intro.bmp",3,0.47627,3
"23","intro.bmp",0,0.19691,0
"24","intro.bmp",0,0.2139,0
"25","intro.bmp",1,0.24608,1
"26","intro.bmp",0,0.31446,0
"27","intro.bmp",8,0.2145,8
"28","intro.bmp",0,0.29564,0
"29","intro.bmp",6,0.45982,6
"30","intro.bmp",5,0.2809,5
"31","intro.bmp",8,0.24644,8
"32","intro.bmp",0,0.52614,0
"33","intro.bmp",6,0.24656,6
"34","intro.bmp",9,0.19739,9
"35","intro.bmp",5,0.14777,5
"36","intro.bmp",4,0.21371,4
"37","intro.bmp",0,0.20127,0
"38","intro.bmp",3,0.36158,3
"39","intro.bmp",3,0.23004,3
"40","intro.bmp",2,0.52577,2
"41","intro.bmp",1,0.04885,1
"42","intro.bmp",0,0.32859,0
"43","intro.bmp",5,0.44555,5
"44","intro.bmp",1,0.33059,1
"45","intro.bmp",1,0.26181,1
"46","intro.bmp",2,0.23017,2
"47","intro.bmp",3,0.26285,3
"48","intro.bmp",6,0.2829,6
"49","intro.bmp",9,0.24654,9
"50","intro.bmp",8,0.24422,8
"51","intro.bmp",7,0.19682,7
"52","intro.bmp",1,0.21346,1
"53","intro.bmp",2,0.24663,2
"54","intro.bmp",1,0.23003,1
"55","intro.bmp",5,0.21186,5
"56","intro.bmp",7,0.23023,7
"57","intro.bmp",4,0.22961,4
"58","intro.bmp",2,0.19622,2
"59","intro.bmp",6,0.2457,6
"60","intro.bmp",4,0.24643,4
"61","intro.bmp",9,0.19727,9
"62","intro.bmp",3,0.04874,3
"63","intro.bmp",3,0.3939,3
"64","intro.bmp",4,0.29633,4
"65","intro.bmp",5,0.26252,5
"66","intro.bmp",1,0.23158,1
