,slide,initialAOI,fixationTime,correctedAOI,Transition
1,fruit.bmp,2,0.34534,2,Invalid
2,fruit.bmp,4,1.08436,4,Invalid
3,fruit.bmp,1,0.24617,1,Meaningful
4,fruit.bmp,7,0.34473,7,Meaningful
5,fruit.bmp,4,0.21631,4,Meaningful
6,fruit.bmp,1,1.67551,1,Meaningful
7,fruit.bmp,6,0.23023,6,Invalid
8,fruit.bmp,7,0.96697,7,Invalid
9,intro.bmp,8,0.47636,8,Invalid
10,intro.bmp,6,0.14756,6,Invalid
11,intro.bmp,7,0.21461,7,Invalid
12,intro.bmp,3,0.46011,3,Invalid
13,intro.bmp,5,0.24578,5,Invalid
14,intro.bmp,2,0.21352,2,Meaningful
15,intro.bmp,6,0.26302,6,Invalid
16,intro.bmp,9,0.27957,9,Meaningful
17,intro.bmp,6,0.21191,6,Meaningful
18,intro.bmp,7,0.19704,7,Invalid
19,intro.bmp,1,0.24661,1,Meaningful
20,intro.bmp,2,0.24626,2,Surface
21,intro.bmp,8,0.65742,8,Meaningful
22,intro.bmp,1,0.22972,1,Invalid
23,intro.bmp,2,0.32866,2,Surface
24,intro.bmp,3,0.26339,3,Surface
25,intro.bmp,6,0.25037,6,Meaningful
26,intro.bmp,9,0.2466,9,Meaningful
27,intro.bmp,8,0.19691,8,Surface
28,intro.bmp,6,0.06538,6,Invalid
29,intro.bmp,8,0.21396,8,Invalid
30,intro.bmp,5,0.23045,5,Meaningful
31,intro.bmp,9,0.21336,9,Invalid
32,intro.bmp,8,0.31828,8,Surface
33,intro.bmp,1,0.21189,1,Invalid
34,intro.bmp,4,0.23014,4,Meaningful
35,intro.bmp,7,0.23,7,Meaningful
36,intro.bmp,5,0.21333,5,Invalid
37,intro.bmp,6,0.44337,6,Surface
38,intro.bmp,9,0.27928,9,Meaningful
39,intro.bmp,8,0.23003,8,Surface
40,intro.bmp,9,0.2308,9,Surface
41,intro.bmp,6,0.24652,6,Meaningful
42,intro.bmp,3,0.37786,3,Meaningful
43,intro.bmp,4,0.57357,4,Invalid
44,intro.bmp,6,0.24662,6,Surface
45,intro.bmp,3,0.24652,3,Meaningful
46,intro.bmp,1,0.34588,1,Surface
47,intro.bmp,7,0.29537,7,Meaningful
48,intro.bmp,8,0.31201,8,Surface
49,intro.bmp,9,0.39445,9,Surface
50,intro.bmp,2,0.50879,2,Invalid
51,0.bmp,6,0.36117,6,Invalid
52,0.bmp,5,0.31229,5,Meaningful
53,0.bmp,8,0.19707,8,Surface
54,0.bmp,9,0.32819,9,Meaningful
55,0.bmp,8,0.2466,8,Meaningful
56,0.bmp,9,0.18081,9,Meaningful
57,0.bmp,5,0.52567,5,Invalid
58,0.bmp,2,0.19685,2,Surface
59,0.bmp,8,0.77131,8,Surface
60,0.bmp,6,0.32891,6,Invalid
61,0.bmp,1,0.26292,1,Invalid
62,0.bmp,4,0.27891,4,Surface
63,0.bmp,7,0.55886,7,Surface
64,0.bmp,3,0.36116,3,Invalid
65,0.bmp,6,0.58003,6,Surface
66,0.bmp,4,0.21772,4,Meaningful
67,0.bmp,2,0.23107,2,Invalid
68,0.bmp,1,0.7572,1,Meaningful
69,0.bmp,2,0.21682,2,Meaningful
70,0.bmp,3,0.29336,3,Meaningful
71,0.bmp,6,0.2466,6,Surface
72,0.bmp,9,0.21355,9,Surface
73,0.bmp,6,0.29774,6,Surface
74,0.bmp,9,0.18107,9,Surface
75,0.bmp,7,0.24693,7,Meaningful
76,0.bmp,3,0.21351,3,Invalid
77,0.bmp,1,0.23028,1,Meaningful
78,0.bmp,5,0.24651,5,Invalid
79,0.bmp,8,0.19707,8,Surface
80,0.bmp,1,0.21343,1,Invalid
81,0.bmp,7,0.29635,7,Surface
82,0.bmp,2,0.47639,2,Invalid
83,0.bmp,6,0.3615,6,Invalid
84,0.bmp,1,0.68738,1,Invalid
85,0.bmp,4,0.23452,4,Surface
86,0.bmp,5,0.22955,5,Meaningful
87,0.bmp,3,0.27955,3,Invalid
88,0.bmp,9,0.37778,9,Surface
89,0.bmp,3,0.53148,3,Surface
90,0.bmp,6,0.2153,6,Surface
91,0.bmp,8,0.49344,8,Invalid
92,0.bmp,5,0.60735,5,Surface
93,0.bmp,6,0.21375,6,Meaningful
94,0.bmp,7,0.378,7,Invalid
95,0.bmp,4,0.52558,4,Surface
96,0.bmp,5,0.19729,5,Meaningful
97,0.bmp,2,0.4274,2,Surface
98,0.bmp,1,0.8548,1,Meaningful
99,0.bmp,2,0.19694,2,Meaningful
100,0.bmp,6,0.41071,6,Invalid
101,0.bmp,3,0.32867,3,Surface
102,0.bmp,5,0.68694,5,Invalid
103,0.bmp,7,0.57603,7,Invalid
104,0.bmp,4,0.29567,4,Surface
105,0.bmp,5,0.04926,5,Meaningful
106,0.bmp,6,0.5582,6,Meaningful
107,1.bmp,9,0.22988,1,Invalid
108,1.bmp,3,0.49262,8,Invalid
109,1.bmp,8,0.68975,3,Invalid
110,1.bmp,9,0.27872,1,Meaningful
111,1.bmp,8,0.23038,3,Meaningful
112,1.bmp,4,0.22992,4,Invalid
113,1.bmp,6,0.21358,5,Meaningful
114,1.bmp,8,0.21373,3,Invalid
115,1.bmp,6,0.24677,5,Invalid
116,1.bmp,3,0.42712,8,Surface
117,1.bmp,1,0.36111,9,Meaningful
118,1.bmp,8,0.62462,3,Surface
119,1.bmp,2,0.77525,2,Meaningful
120,1.bmp,8,0.96254,3,Meaningful
121,1.bmp,2,0.30968,2,Meaningful
122,1.bmp,1,0.23012,9,Invalid
123,1.bmp,5,0.22911,6,Surface
124,1.bmp,3,0.29552,8,Invalid
125,1.bmp,2,0.26245,2,Surface
126,1.bmp,4,0.24457,4,Invalid
127,1.bmp,9,0.23022,1,Surface
128,1.bmp,7,0.57651,7,Surface
129,1.bmp,2,0.2274,2,Invalid
130,1.bmp,1,0.8869,9,Invalid
131,1.bmp,7,0.21346,7,Meaningful
132,1.bmp,4,0.36182,4,Surface
133,1.bmp,2,0.20325,2,Invalid
134,1.bmp,3,0.21715,8,Surface
135,1.bmp,5,0.32864,6,Invalid
136,1.bmp,4,0.8048,4,Meaningful
137,1.bmp,9,0.29515,1,Surface
138,1.bmp,8,0.62389,3,Meaningful
139,1.bmp,6,0.21249,5,Invalid
140,1.bmp,3,0.19722,8,Surface
141,1.bmp,4,0.37758,4,Invalid
142,1.bmp,9,0.34497,1,Surface
143,1.bmp,8,0.29558,3,Meaningful
144,1.bmp,6,0.36166,5,Invalid
145,1.bmp,2,0.44374,2,Surface
146,1.bmp,6,0.32834,5,Surface
147,1.bmp,3,0.55934,8,Surface
148,1.bmp,1,0.33812,9,Meaningful
149,1.bmp,6,0.09822,5,Invalid
150,1.bmp,9,0.26295,1,Invalid
151,1.bmp,6,0.44354,5,Invalid
152,1.bmp,8,1.98718,3,Invalid
153,1.bmp,6,1.18262,5,Invalid
154,1.bmp,4,0.31223,4,Meaningful
155,1.bmp,6,0.23001,5,Meaningful
156,1.bmp,2,0.72318,2,Surface
157,2.bmp,6,0.67287,4,Invalid
158,2.bmp,7,0.2139,7,Surface
159,2.bmp,1,0.34497,9,Meaningful
160,2.bmp,5,0.98544,8,Meaningful
161,2.bmp,4,0.24664,6,Invalid
162,2.bmp,8,1.59576,5,Meaningful
163,2.bmp,2,0.55795,3,Invalid
164,2.bmp,3,0.26279,1,Meaningful
165,2.bmp,6,0.26328,4,Surface
166,2.bmp,9,0.04913,2,Invalid
167,2.bmp,8,0.969,5,Surface
168,2.bmp,7,0.77189,7,Invalid
169,2.bmp,5,0.22989,8,Meaningful
170,2.bmp,7,0.24632,7,Meaningful
171,2.bmp,5,0.57498,8,Meaningful
172,2.bmp,7,1.08549,7,Meaningful
173,2.bmp,6,0.78838,4,Surface
174,2.bmp,9,0.29282,2,Invalid
175,2.bmp,5,0.29556,8,Surface
176,2.bmp,8,0.21382,5,Surface
177,2.bmp,5,0.21385,8,Surface
178,2.bmp,4,0.21149,6,Invalid
179,2.bmp,2,0.24615,3,Surface
180,2.bmp,1,0.80425,9,Surface
181,2.bmp,5,1.44623,8,Meaningful
182,2.bmp,3,0.27798,1,Invalid
183,2.bmp,6,0.3448,4,Surface
184,2.bmp,9,0.29543,2,Invalid
185,2.bmp,8,0.87073,5,Surface
186,2.bmp,2,0.19762,3,Invalid
187,2.bmp,5,0.26303,8,Invalid
188,2.bmp,2,0.24648,3,Invalid
189,2.bmp,6,0.67386,4,Invalid
190,2.bmp,3,1.03447,1,Surface
191,2.bmp,4,0.49268,6,Invalid
192,2.bmp,5,0.78158,8,Invalid
193,2.bmp,9,0.19714,2,Surface
194,2.bmp,8,0.27916,5,Surface
