"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",1,0.96671,1,"Invalid"
"2","fruit.bmp",6,1.22669,6,"Invalid"
"3","fruit.bmp",7,1.06823,7,"Invalid"
"4","fruit.bmp",8,0.44288,8,"Surface"
"5","intro.bmp",5,0.36213,5,"Invalid"
"6","intro.bmp",6,0.57073,6,"Surface"
"7","intro.bmp",5,0.31274,5,"Surface"
"8","intro.bmp",4,0.31195,4,"Surface"
"9","intro.bmp",7,0.44391,7,"Meaningful"
"10","intro.bmp",8,0.29671,8,"Surface"
"11","intro.bmp",9,0.22962,9,"Surface"
"12","intro.bmp",6,0.26293,6,"Meaningful"
"13","intro.bmp",5,0.41074,5,"Surface"
"14","intro.bmp",4,0.22931,4,"Surface"
"15","intro.bmp",5,0.24593,5,"Surface"
"16","intro.bmp",6,0.55888,6,"Surface"
"17","intro.bmp",5,0.50901,5,"Surface"
"18","intro.bmp",4,0.36198,4,"Surface"
"19","intro.bmp",8,0.34245,8,"Invalid"
"20","intro.bmp",6,0.3121,6,"Invalid"
"21","intro.bmp",5,0.49395,5,"Surface"
"22","intro.bmp",4,0.3778,4,"Surface"
"23","intro.bmp",8,0.29547,8,"Invalid"
"24","intro.bmp",7,0.24647,7,"Surface"
"25","intro.bmp",5,0.2127,5,"Invalid"
"26","intro.bmp",6,0.21114,6,"Surface"
"27","intro.bmp",5,1.19776,5,"Surface"
"28","intro.bmp",4,0.46066,4,"Surface"
"29","intro.bmp",1,0.34478,1,"Meaningful"
"30","intro.bmp",2,0.28426,2,"Surface"
"31","intro.bmp",3,0.24628,3,"Surface"
"32","intro.bmp",6,0.29993,6,"Meaningful"
"33","intro.bmp",7,0.29562,7,"Invalid"
"34","intro.bmp",8,0.31134,8,"Surface"
"35","intro.bmp",5,0.59135,5,"Meaningful"
"36","intro.bmp",4,0.19691,4,"Surface"
"37","intro.bmp",9,0.19742,9,"Invalid"
"38","intro.bmp",6,0.29832,6,"Meaningful"
"39","intro.bmp",3,0.2954,3,"Meaningful"
"40","intro.bmp",8,0.31229,8,"Invalid"
"41","intro.bmp",4,0.41122,4,"Invalid"
"42","intro.bmp",9,0.24709,9,"Invalid"
"43","intro.bmp",2,0.26189,2,"Invalid"
"44","intro.bmp",9,0.2631,9,"Invalid"
"45","intro.bmp",2,0.34465,2,"Invalid"
"46","intro.bmp",6,0.327,6,"Invalid"
"47","intro.bmp",3,0.21386,3,"Meaningful"
"48","intro.bmp",1,0.31378,1,"Surface"
"49","intro.bmp",4,0.26395,4,"Meaningful"
"50","intro.bmp",5,0.24689,5,"Surface"
"51","intro.bmp",1,0.34204,1,"Invalid"
"52","intro.bmp",4,0.36177,4,"Meaningful"
"53","intro.bmp",6,0.21393,6,"Surface"
"54","intro.bmp",4,0.31191,4,"Surface"
