"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"1","fruit.bmp",9,0.13139,9,"Invalid"
"2","fruit.bmp",8,0.19716,8,"Surface"
"3","fruit.bmp",4,0.36152,4,"Invalid"
"4","fruit.bmp",6,0.22952,6,"Surface"
"5","fruit.bmp",3,0.29581,3,"Meaningful"
"6","fruit.bmp",4,1.31313,4,"Invalid"
"7","fruit.bmp",1,1.0181,1,"Meaningful"
"8","fruit.bmp",6,0.62444,6,"Invalid"
"9","fruit.bmp",7,1.44315,7,"Invalid"
"10","intro.bmp",5,0.73923,5,"Invalid"
"11","intro.bmp",6,0.26239,6,"Surface"
"12","intro.bmp",4,0.04972,4,"Surface"
"13","intro.bmp",6,0.24609,6,"Surface"
"14","intro.bmp",3,0.19723,3,"Meaningful"
"15","intro.bmp",2,0.2134,2,"Surface"
"16","intro.bmp",1,0.21356,1,"Surface"
"17","intro.bmp",8,0.21513,8,"Invalid"
"18","intro.bmp",6,0.21331,6,"Invalid"
"19","intro.bmp",5,0.37804,5,"Surface"
"20","intro.bmp",7,0.19622,7,"Invalid"
"21","intro.bmp",6,0.3282,6,"Invalid"
"22","intro.bmp",3,0.26291,3,"Meaningful"
"23","intro.bmp",7,0.37803,7,"Invalid"
"24","intro.bmp",1,0.32894,1,"Meaningful"
"25","intro.bmp",6,0.41048,6,"Invalid"
"26","intro.bmp",5,0.21344,5,"Surface"
"27","intro.bmp",6,0.22986,6,"Surface"
"28","intro.bmp",5,0.49219,5,"Surface"
"29","intro.bmp",1,0.60843,1,"Invalid"
"30","intro.bmp",3,0.22961,3,"Surface"
"31","intro.bmp",2,0.37784,2,"Surface"
"32","intro.bmp",5,0.24667,5,"Meaningful"
"33","intro.bmp",6,0.22971,6,"Surface"
"34","intro.bmp",9,0.24586,9,"Meaningful"
"35","intro.bmp",5,0.23042,5,"Invalid"
"36","intro.bmp",4,0.26264,4,"Surface"
"37","intro.bmp",5,0.3447,5,"Surface"
"38","intro.bmp",6,0.65711,6,"Surface"
"39","intro.bmp",4,0.21352,4,"Surface"
"40","intro.bmp",8,0.27876,8,"Invalid"
"41","intro.bmp",9,0.24656,9,"Surface"
"42","intro.bmp",3,0.24588,3,"Meaningful"
"43","intro.bmp",1,0.50912,1,"Surface"
"44","intro.bmp",4,0.41105,4,"Meaningful"
"45","intro.bmp",6,0.23012,6,"Surface"
"46","intro.bmp",3,0.22816,3,"Meaningful"
"47","intro.bmp",2,0.31239,2,"Surface"
"48","intro.bmp",5,0.24677,5,"Meaningful"
"49","intro.bmp",6,0.46091,6,"Surface"
"50","intro.bmp",4,0.19702,4,"Surface"
"51","intro.bmp",7,0.4099,7,"Meaningful"
"52","intro.bmp",8,0.64125,8,"Surface"
"53","intro.bmp",6,0.19728,6,"Invalid"
"54","intro.bmp",2,0.31203,2,"Invalid"
"55","intro.bmp",5,0.3778,5,"Meaningful"
"56","intro.bmp",9,0.24655,9,"Invalid"
"57","intro.bmp",7,0.23046,7,"Surface"
"58","intro.bmp",6,0.21408,6,"Invalid"
"59","0.bmp",5,0.60764,5,"Invalid"
"60","0.bmp",6,0.21371,6,"Meaningful"
"61","0.bmp",4,0.26373,4,"Meaningful"
"62","0.bmp",6,0.34513,6,"Meaningful"
"63","0.bmp",4,0.24654,4,"Meaningful"
"64","0.bmp",8,0.2136,8,"Invalid"
"65","0.bmp",7,0.23129,7,"Meaningful"
"66","0.bmp",9,0.19737,9,"Meaningful"
"67","0.bmp",6,0.36156,6,"Surface"
"68","0.bmp",3,0.23035,3,"Surface"
"69","0.bmp",4,0.80161,4,"Invalid"
"70","0.bmp",1,0.41062,1,"Surface"
"71","0.bmp",7,0.29553,7,"Surface"
"72","0.bmp",8,0.36139,8,"Meaningful"
"73","0.bmp",7,0.42751,7,"Meaningful"
"74","0.bmp",6,0.88686,6,"Invalid"
"75","0.bmp",4,1.21586,4,"Meaningful"
"76","0.bmp",8,0.82147,8,"Invalid"
"77","0.bmp",4,0.72315,4,"Invalid"
"78","0.bmp",6,0.26348,6,"Meaningful"
"79","0.bmp",3,0.22182,3,"Surface"
"80","0.bmp",9,0.46004,9,"Surface"
"81","0.bmp",2,0.73973,2,"Invalid"
"82","0.bmp",1,0.29652,1,"Meaningful"
"83","0.bmp",4,0.24644,4,"Surface"
"84","0.bmp",7,0.27931,7,"Surface"
"85","0.bmp",9,0.21352,9,"Meaningful"
"86","0.bmp",8,0.24629,8,"Meaningful"
"87","0.bmp",5,0.21382,5,"Surface"
"88","0.bmp",4,0.21442,4,"Meaningful"
"89","0.bmp",6,0.80843,6,"Meaningful"
"90","0.bmp",3,0.67384,3,"Surface"
"91","0.bmp",5,0.24617,5,"Invalid"
"92","0.bmp",3,0.46009,3,"Invalid"
"93","0.bmp",2,0.25903,2,"Meaningful"
"94","0.bmp",1,0.22711,1,"Meaningful"
"95","0.bmp",7,0.19713,7,"Surface"
"96","0.bmp",8,0.62451,8,"Meaningful"
"97","0.bmp",9,0.6697,9,"Meaningful"
"98","0.bmp",4,0.56261,4,"Invalid"
"99","0.bmp",1,0.32894,1,"Surface"
"100","0.bmp",9,0.8816,9,"Invalid"
"101","0.bmp",6,0.3119,6,"Surface"
"102","0.bmp",9,0.55788,9,"Surface"
"103","0.bmp",6,0.19646,6,"Surface"
"104","0.bmp",5,0.47897,5,"Meaningful"
"105","0.bmp",3,0.29599,3,"Invalid"
"106","0.bmp",6,0.80486,6,"Surface"
"107","0.bmp",3,0.24657,3,"Surface"
"108","0.bmp",2,0.23005,2,"Meaningful"
"109","0.bmp",3,0.32855,3,"Meaningful"
"110","1.bmp",1,0.47607,5,"Invalid"
"111","1.bmp",8,0.49308,8,"Surface"
"112","1.bmp",9,1.16568,6,"Invalid"
"113","1.bmp",6,0.22842,3,"Surface"
"114","1.bmp",5,0.44342,4,"Invalid"
"115","1.bmp",7,0.34496,9,"Invalid"
"116","1.bmp",6,0.24615,3,"Surface"
"117","1.bmp",9,0.70697,6,"Surface"
"118","1.bmp",3,0.60732,1,"Invalid"
"119","1.bmp",9,0.27921,6,"Invalid"
"120","1.bmp",3,0.70653,1,"Invalid"
"121","1.bmp",2,0.42691,2,"Meaningful"
"122","1.bmp",6,0.21408,3,"Meaningful"
"123","1.bmp",7,0.62639,9,"Surface"
"124","1.bmp",8,0.27878,8,"Meaningful"
"125","1.bmp",2,0.44438,2,"Surface"
