"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",1,0.06593,1,"Invalid","Invalid"
"2","fruit.bmp",2,0.23002,2,"Surface","Surface"
"3","fruit.bmp",3,0.26243,3,"Surface","Surface"
"4","fruit.bmp",5,0.3778,5,"Invalid","Invalid"
"5","fruit.bmp",4,0.5914,4,"Surface","Surface"
"6","fruit.bmp",1,0.72177,1,"Meaningful","Meaningful"
"7","fruit.bmp",6,0.70642,6,"Invalid","Invalid"
"8","fruit.bmp",5,0.24632,5,"Surface","Surface"
"9","fruit.bmp",6,0.2301,6,"Surface","Surface"
"10","fruit.bmp",8,0.19795,8,"Invalid","Invalid"
"11","fruit.bmp",7,0.95271,7,"Surface","Surface"
"12","intro.bmp",10,0.21299,10,"Invalid","Invalid"
"13","intro.bmp",0,0.68995,0,"Invalid","Invalid"
"14","intro.bmp",7,0.17856,7,"Invalid","Invalid"
"15","intro.bmp",5,0.21336,5,"Invalid","Invalid"
"16","intro.bmp",0,0.3618,0,"Invalid","Invalid"
"17","intro.bmp",6,0.42706,6,"Invalid","Invalid"
"18","intro.bmp",10,0.24633,10,"Invalid","Invalid"
"19","intro.bmp",0,0.46112,0,"Invalid","Invalid"
"20","intro.bmp",10,1.06469,10,"Invalid","Invalid"
"21","intro.bmp",0,0.23076,0,"Invalid","Invalid"
"22","intro.bmp",8,0.23007,8,"Invalid","Invalid"
"23","intro.bmp",4,0.32867,4,"Invalid","Invalid"
"24","intro.bmp",5,0.65685,5,"Surface","Surface"
"25","intro.bmp",1,0.27913,1,"Invalid","Invalid"
"26","intro.bmp",7,1.01867,7,"Meaningful","Meaningful"
"27","intro.bmp",6,0.19733,6,"Invalid","Invalid"
"28","intro.bmp",2,0.32861,2,"Invalid","Invalid"
"29","intro.bmp",5,0.50975,5,"Meaningful","Meaningful"
"30","intro.bmp",10,0.26014,10,"Invalid","Invalid"
"31","intro.bmp",9,0.2958,9,"Invalid","Invalid"
"32","intro.bmp",10,0.32823,10,"Invalid","Invalid"
"33","intro.bmp",0,0.21347,0,"Invalid","Invalid"
"34","intro.bmp",1,0.19703,1,"Invalid","Invalid"
"35","intro.bmp",0,0.62388,0,"Invalid","Invalid"
"36","intro.bmp",2,0.09804,2,"Invalid","Invalid"
"37","intro.bmp",0,1.47735,0,"Invalid","Invalid"
"38","intro.bmp",10,0.26415,10,"Invalid","Invalid"
"39","intro.bmp",1,0.44394,1,"Invalid","Invalid"
"40","intro.bmp",2,0.34577,2,"Surface","Surface"
"41","intro.bmp",3,0.32841,3,"Surface","Surface"
"42","intro.bmp",6,0.3287,6,"Meaningful","Meaningful"
"43","intro.bmp",4,0.21535,4,"Surface","Surface"
"44","intro.bmp",7,0.64092,7,"Meaningful","Meaningful"
"45","intro.bmp",8,0.23004,8,"Surface","Surface"
"46","intro.bmp",9,0.27828,9,"Surface","Surface"
"47","intro.bmp",8,0.24624,8,"Surface","Surface"
"48","intro.bmp",6,0.1152,6,"Invalid","Invalid"
"49","intro.bmp",3,0.21114,3,"Meaningful","Meaningful"
"50","intro.bmp",2,0.23296,2,"Surface","Surface"
"51","intro.bmp",8,0.24563,8,"Meaningful","Meaningful"
"52","intro.bmp",5,0.27934,5,"Meaningful","Meaningful"
