"","slide","initialAOI","fixationTime","correctedAOI","Transition","Transition"
"1","fruit.bmp",5,0.45906,5,"Invalid","Invalid"
"2","fruit.bmp",6,0.24581,6,"Surface","Surface"
"3","fruit.bmp",0,0.21442,0,"Invalid","Invalid"
"4","fruit.bmp",8,0.21609,8,"Invalid","Invalid"
"5","fruit.bmp",4,0.70764,4,"Invalid","Invalid"
"6","fruit.bmp",1,0.74459,1,"Meaningful","Meaningful"
"7","fruit.bmp",3,0.20013,3,"Surface","Surface"
"8","fruit.bmp",4,0.2476,4,"Invalid","Invalid"
"9","fruit.bmp",5,0.54066,5,"Surface","Surface"
"10","fruit.bmp",4,0.26256,4,"Surface","Surface"
"11","fruit.bmp",1,0.29506,1,"Meaningful","Meaningful"
"12","fruit.bmp",6,0.82267,6,"Invalid","Invalid"
"13","fruit.bmp",7,1.01856,7,"Invalid","Invalid"
"14","fruit.bmp",10,0.55869,10,"Invalid","Invalid"
"15","fruit.bmp",0,0.32845,0,"Invalid","Invalid"
"16","fruit.bmp",9,0.19682,9,"Invalid","Invalid"
"17","fruit.bmp",3,0.29524,3,"Meaningful","Meaningful"
"18","fruit.bmp",5,0.27866,5,"Invalid","Invalid"
"19","fruit.bmp",10,0.23026,10,"Invalid","Invalid"
"20","fruit.bmp",8,1.74117,8,"Invalid","Invalid"
"21","fruit.bmp",0,0.49276,0,"Invalid","Invalid"
"22","fruit.bmp",2,0.2928,2,"Invalid","Invalid"
"23","fruit.bmp",0,1.36126,0,"Invalid","Invalid"
"24","fruit.bmp",2,0.42728,2,"Invalid","Invalid"
"25","fruit.bmp",5,0.41077,5,"Meaningful","Meaningful"
"26","intro.bmp",1,0.57486,1,"Invalid","Invalid"
"27","intro.bmp",2,0.36176,2,"Surface","Surface"
"28","intro.bmp",6,0.50369,6,"Invalid","Invalid"
"29","intro.bmp",8,0.19738,8,"Invalid","Invalid"
"30","intro.bmp",7,0.27962,7,"Surface","Surface"
"31","intro.bmp",5,0.36182,5,"Invalid","Invalid"
"32","intro.bmp",9,0.27899,9,"Invalid","Invalid"
"33","intro.bmp",1,0.68947,1,"Invalid","Invalid"
"34","intro.bmp",4,0.21355,4,"Meaningful","Meaningful"
"35","intro.bmp",7,0.27924,7,"Meaningful","Meaningful"
"36","intro.bmp",5,0.24541,5,"Invalid","Invalid"
"37","intro.bmp",2,0.41076,2,"Meaningful","Meaningful"
"38","intro.bmp",3,0.29544,3,"Surface","Surface"
"39","intro.bmp",2,0.3286,2,"Surface","Surface"
"40","intro.bmp",6,0.26247,6,"Invalid","Invalid"
"41","intro.bmp",9,0.2644,9,"Meaningful","Meaningful"
"42","intro.bmp",8,0.37963,8,"Surface","Surface"
"43","intro.bmp",6,0.69019,6,"Invalid","Invalid"
"44","intro.bmp",8,0.24591,8,"Invalid","Invalid"
"45","intro.bmp",7,0.65877,7,"Surface","Surface"
"46","intro.bmp",4,0.19714,4,"Meaningful","Meaningful"
"47","intro.bmp",2,0.21176,2,"Invalid","Invalid"
"48","intro.bmp",1,0.29656,1,"Surface","Surface"
"49","intro.bmp",8,0.55852,8,"Invalid","Invalid"
"50","intro.bmp",1,0.44311,1,"Invalid","Invalid"
"51","intro.bmp",7,0.55951,7,"Meaningful","Meaningful"
"52","intro.bmp",4,0.3306,4,"Meaningful","Meaningful"
"53","intro.bmp",7,0.19656,7,"Meaningful","Meaningful"
"54","intro.bmp",4,0.42696,4,"Meaningful","Meaningful"
"55","intro.bmp",5,0.29454,5,"Surface","Surface"
"56","intro.bmp",4,0.24609,4,"Surface","Surface"
"57","intro.bmp",9,0.27927,9,"Invalid","Invalid"
"58","intro.bmp",6,0.29614,6,"Meaningful","Meaningful"
"59","intro.bmp",5,0.27967,5,"Surface","Surface"
"60","intro.bmp",3,0.21338,3,"Invalid","Invalid"
"61","intro.bmp",6,0.37802,6,"Meaningful","Meaningful"
"62","intro.bmp",8,0.04898,8,"Invalid","Invalid"
"63","intro.bmp",5,0.70645,5,"Meaningful","Meaningful"
"64","intro.bmp",9,0.32765,9,"Invalid","Invalid"
"65","intro.bmp",7,0.24631,7,"Surface","Surface"
"66","intro.bmp",4,0.46012,4,"Meaningful","Meaningful"
"67","intro.bmp",8,0.19742,8,"Invalid","Invalid"
"68","intro.bmp",5,0.60965,5,"Meaningful","Meaningful"
"69","intro.bmp",2,0.22977,2,"Meaningful","Meaningful"
"70","intro.bmp",0,0.41047,0,"Invalid","Invalid"
"71","intro.bmp",3,0.29691,3,"Invalid","Invalid"
"72","intro.bmp",5,0.2139,5,"Invalid","Invalid"
"73","intro.bmp",1,0.22988,1,"Invalid","Invalid"
"74","intro.bmp",4,0.29633,4,"Meaningful","Meaningful"
"75","intro.bmp",1,0.29568,1,"Meaningful","Meaningful"
"76","intro.bmp",10,0.2308,10,"Invalid","Invalid"
"77","intro.bmp",9,1.10643,9,"Invalid","Invalid"
"78","intro.bmp",6,0.24712,6,"Meaningful","Meaningful"
"79","intro.bmp",0,0.21315,0,"Invalid","Invalid"
"80","0.bmp",5,0.24673,5,"Invalid","Invalid"
"81","0.bmp",2,0.36166,2,"Surface","Surface"
"82","0.bmp",1,0.5573,1,"Meaningful","Meaningful"
"83","0.bmp",4,0.19771,4,"Surface","Surface"
"84","0.bmp",1,0.52596,1,"Surface","Surface"
"85","0.bmp",5,0.23088,5,"Invalid","Invalid"
"86","0.bmp",6,0.24989,6,"Meaningful","Meaningful"
"87","0.bmp",5,0.32864,5,"Meaningful","Meaningful"
"88","0.bmp",8,0.49284,8,"Surface","Surface"
"89","0.bmp",6,0.34456,6,"Invalid","Invalid"
"90","0.bmp",3,0.29558,3,"Surface","Surface"
"91","0.bmp",2,0.26295,2,"Meaningful","Meaningful"
"92","0.bmp",6,0.2294,6,"Invalid","Invalid"
"93","0.bmp",8,0.80557,8,"Invalid","Invalid"
"94","0.bmp",5,0.36092,5,"Surface","Surface"
"95","0.bmp",7,0.42674,7,"Invalid","Invalid"
"96","0.bmp",9,0.42746,9,"Meaningful","Meaningful"
"97","0.bmp",8,0.27946,8,"Meaningful","Meaningful"
"98","0.bmp",6,0.23038,6,"Invalid","Invalid"
"99","0.bmp",2,0.26253,2,"Invalid","Invalid"
"100","0.bmp",3,0.70676,3,"Meaningful","Meaningful"
"101","0.bmp",5,1.01828,5,"Invalid","Invalid"
"102","0.bmp",3,0.23029,3,"Invalid","Invalid"
"103","0.bmp",2,0.24655,2,"Meaningful","Meaningful"
"104","0.bmp",3,0.22969,3,"Meaningful","Meaningful"
"105","0.bmp",6,0.29555,6,"Surface","Surface"
"106","0.bmp",9,0.27968,9,"Surface","Surface"
"107","0.bmp",7,0.27913,7,"Meaningful","Meaningful"
"108","0.bmp",8,0.24658,8,"Meaningful","Meaningful"
"109","0.bmp",4,0.5076,4,"Invalid","Invalid"
"110","0.bmp",2,0.27948,2,"Invalid","Invalid"
"111","1.bmp",6,0.24634,7,"Invalid","Invalid"
"112","1.bmp",5,0.22691,6,"Invalid","Invalid"
"113","1.bmp",2,0.24696,5,"Meaningful","Meaningful"
"114","1.bmp",1,0.26315,8,"Surface","Surface"
"115","1.bmp",4,0.42764,2,"Surface","Surface"
"116","1.bmp",2,0.21043,5,"Surface","Surface"
"117","1.bmp",9,0.21336,3,"Invalid","Invalid"
"118","1.bmp",6,0.21362,7,"Invalid","Invalid"
"119","1.bmp",3,0.39763,4,"Surface","Surface"
"120","1.bmp",9,0.32864,3,"Invalid","Invalid"
"121","1.bmp",7,0.27959,9,"Surface","Surface"
"122","1.bmp",5,0.21298,6,"Surface","Surface"
"123","1.bmp",9,0.24648,3,"Surface","Surface"
"124","1.bmp",6,0.31248,7,"Invalid","Invalid"
"125","1.bmp",1,0.70572,8,"Meaningful","Meaningful"
"126","1.bmp",2,0.21313,5,"Surface","Surface"
"127","1.bmp",4,0.22986,2,"Surface","Surface"
"128","1.bmp",8,0.20831,1,"Meaningful","Meaningful"
"129","1.bmp",1,0.22969,8,"Invalid","Invalid"
"130","1.bmp",5,0.50945,6,"Invalid","Invalid"
"131","1.bmp",7,0.45592,9,"Surface","Surface"
"132","1.bmp",9,0.22946,3,"Surface","Surface"
"133","1.bmp",5,0.41057,6,"Surface","Surface"
"134","1.bmp",7,0.26289,9,"Surface","Surface"
"135","1.bmp",5,0.37862,6,"Surface","Surface"
"136","1.bmp",6,0.51912,7,"Invalid","Invalid"
"137","1.bmp",8,0.21361,1,"Surface","Surface"
"138","1.bmp",3,0.27911,4,"Surface","Surface"
"139","1.bmp",6,0.263,7,"Surface","Surface"
"140","1.bmp",10,0.27969,10,"Invalid","Invalid"
"141","1.bmp",2,0.55873,5,"Invalid","Invalid"
"142","2.bmp",5,0.23431,9,"Invalid","Invalid"
"143","2.bmp",2,0.42755,3,"Surface","Surface"
"144","2.bmp",1,0.39417,1,"Meaningful","Meaningful"
"145","2.bmp",4,0.31165,4,"Surface","Surface"
"146","2.bmp",7,0.22958,8,"Invalid","Invalid"
"147","2.bmp",2,0.2132,3,"Invalid","Invalid"
"148","2.bmp",3,0.23041,5,"Invalid","Invalid"
"149","2.bmp",2,0.2299,3,"Invalid","Invalid"
"150","2.bmp",5,0.31154,9,"Surface","Surface"
"151","2.bmp",8,0.40991,6,"Surface","Surface"
"152","2.bmp",9,0.29556,7,"Invalid","Invalid"
"153","2.bmp",6,0.54274,2,"Invalid","Invalid"
"154","2.bmp",10,0.19711,10,"Invalid","Invalid"
"155","2.bmp",2,0.27948,3,"Invalid","Invalid"
"156","3.bmp",1,0.7112,6,"Invalid","Invalid"
"157","3.bmp",6,0.23019,3,"Surface","Surface"
"158","3.bmp",8,0.19737,9,"Surface","Surface"
"159","3.bmp",5,0.26491,5,"Invalid","Invalid"
"160","3.bmp",4,0.31175,2,"Surface","Surface"
"161","3.bmp",5,0.39433,5,"Surface","Surface"
"162","3.bmp",0,0.28088,0,"Invalid","Invalid"
"163","3.bmp",7,0.21326,4,"Invalid","Invalid"
"164","3.bmp",6,0.55851,3,"Invalid","Invalid"
"165","3.bmp",1,0.19585,6,"Surface","Surface"
"166","3.bmp",2,0.32822,8,"Invalid","Invalid"
"167","3.bmp",3,0.29477,7,"Meaningful","Meaningful"
"168","3.bmp",9,0.27933,1,"Surface","Surface"
"169","3.bmp",8,0.31198,9,"Invalid","Invalid"
"170","3.bmp",6,0.77148,3,"Surface","Surface"
"171","3.bmp",8,0.65712,9,"Surface","Surface"
"172","3.bmp",10,0.29559,10,"Invalid","Invalid"
"173","3.bmp",2,0.31232,8,"Invalid","Invalid"
"174","4.bmp",0,0.55827,0,"Invalid","Invalid"
"175","4.bmp",1,0.21379,6,"Invalid","Invalid"
"176","4.bmp",4,0.21333,2,"Invalid","Invalid"
"177","4.bmp",7,0.34442,5,"Surface","Surface"
"178","4.bmp",3,0.19725,7,"Invalid","Invalid"
"179","4.bmp",6,0.3445,1,"Surface","Surface"
"180","4.bmp",8,0.36244,4,"Surface","Surface"
"181","4.bmp",7,0.40984,5,"Meaningful","Meaningful"
"182","4.bmp",5,0.32864,9,"Invalid","Invalid"
"183","4.bmp",2,0.29486,8,"Meaningful","Meaningful"
"184","4.bmp",4,0.56085,2,"Surface","Surface"
"185","4.bmp",9,1.067,3,"Meaningful","Meaningful"
"186","4.bmp",0,0.19672,0,"Invalid","Invalid"
"187","4.bmp",7,0.19798,5,"Invalid","Invalid"
"188","4.bmp",8,0.32883,4,"Meaningful","Meaningful"
"189","4.bmp",6,0.32904,1,"Surface","Surface"
"190","4.bmp",3,0.2957,7,"Surface","Surface"
"191","4.bmp",1,0.19739,6,"Invalid","Invalid"
"192","4.bmp",2,0.37332,8,"Invalid","Invalid"
"193","4.bmp",4,0.59166,2,"Surface","Surface"
"194","4.bmp",2,0.2139,8,"Surface","Surface"
"195","4.bmp",7,0.23033,5,"Surface","Surface"
"196","4.bmp",5,0.44321,9,"Invalid","Invalid"
