,slide,initialAOI,fixationTime,correctedAOI,Transition,Transition
1,intro.bmp,0,0.16424,0,Invalid,Invalid
2,intro.bmp,1,0.26249,1,Invalid,Invalid
3,intro.bmp,0,1.54674,0,Invalid,Invalid
4,intro.bmp,5,0.5588,5,Invalid,Invalid
5,intro.bmp,0,0.49267,0,Invalid,Invalid
6,intro.bmp,5,0.50891,5,Invalid,Invalid
7,intro.bmp,0,0.29574,0,Invalid,Invalid
8,intro.bmp,5,0.47636,5,Invalid,Invalid
9,intro.bmp,0,0.21341,0,Invalid,Invalid
10,intro.bmp,8,0.2133,8,Invalid,Invalid
11,intro.bmp,9,0.22836,9,Surface,Surface
12,intro.bmp,0,2.79318,0,Invalid,Invalid
13,intro.bmp,5,0.42743,5,Invalid,Invalid
14,intro.bmp,10,0.29111,10,Invalid,Invalid
15,intro.bmp,0,0.27434,0,Invalid,Invalid
16,intro.bmp,2,0.35987,2,Invalid,Invalid
17,intro.bmp,1,0.49421,1,Surface,Surface
18,intro.bmp,2,0.24474,2,Surface,Surface
19,intro.bmp,3,0.27959,3,Surface,Surface
20,intro.bmp,1,0.28477,1,Surface,Surface
21,intro.bmp,0,0.36159,0,Invalid,Invalid
22,intro.bmp,2,0.6085,2,Invalid,Invalid
23,intro.bmp,6,0.55865,6,Invalid,Invalid
24,intro.bmp,2,0.21387,2,Invalid,Invalid
25,intro.bmp,3,0.24638,3,Surface,Surface
26,intro.bmp,9,0.2133,9,Meaningful,Meaningful
27,intro.bmp,8,0.26254,8,Surface,Surface
28,intro.bmp,7,0.22961,7,Surface,Surface
29,intro.bmp,4,0.32849,4,Meaningful,Meaningful
30,intro.bmp,6,0.57501,6,Surface,Surface
31,intro.bmp,3,0.39468,3,Meaningful,Meaningful
32,intro.bmp,0,0.57495,0,Invalid,Invalid
33,intro.bmp,6,0.83792,6,Invalid,Invalid
34,intro.bmp,4,0.77251,4,Surface,Surface
35,0.bmp,10,1.19899,10,Invalid,Invalid
36,0.bmp,8,0.39378,8,Invalid,Invalid
37,0.bmp,9,0.41741,9,Meaningful,Meaningful
38,0.bmp,7,0.36142,7,Meaningful,Meaningful
39,0.bmp,5,0.4964,5,Invalid,Invalid
40,0.bmp,6,0.2628,6,Meaningful,Meaningful
41,0.bmp,0,0.24612,0,Invalid,Invalid
42,0.bmp,2,0.31164,2,Invalid,Invalid
43,0.bmp,5,0.21374,5,Surface,Surface
44,0.bmp,4,0.70724,4,Meaningful,Meaningful
45,0.bmp,6,0.27962,6,Meaningful,Meaningful
46,0.bmp,3,0.46013,3,Surface,Surface
47,0.bmp,9,0.92212,9,Surface,Surface
48,0.bmp,5,0.21338,5,Invalid,Invalid
49,0.bmp,2,0.36132,2,Surface,Surface
50,0.bmp,1,0.21315,1,Meaningful,Meaningful
51,0.bmp,0,0.06558,0,Invalid,Invalid
52,0.bmp,8,0.29787,8,Invalid,Invalid
53,0.bmp,0,0.42706,0,Invalid,Invalid
54,0.bmp,7,0.32893,7,Invalid,Invalid
55,0.bmp,10,0.26278,10,Invalid,Invalid
56,0.bmp,9,0.24458,9,Invalid,Invalid
57,0.bmp,10,0.52559,10,Invalid,Invalid
58,0.bmp,0,0.148,0,Invalid,Invalid
59,0.bmp,8,0.21394,8,Invalid,Invalid
60,0.bmp,0,0.31369,0,Invalid,Invalid
61,0.bmp,4,0.3119,4,Invalid,Invalid
62,0.bmp,0,0.2135,0,Invalid,Invalid
63,0.bmp,2,0.82166,2,Invalid,Invalid
64,0.bmp,10,0.26294,10,Invalid,Invalid
65,0.bmp,8,0.59169,8,Invalid,Invalid
66,0.bmp,5,0.21338,5,Surface,Surface
67,0.bmp,2,0.46032,2,Surface,Surface
68,0.bmp,1,0.5255,1,Meaningful,Meaningful
69,0.bmp,2,0.22975,2,Meaningful,Meaningful
70,0.bmp,6,0.27937,6,Invalid,Invalid
71,0.bmp,7,0.42693,7,Invalid,Invalid
72,0.bmp,4,0.46132,4,Surface,Surface
73,0.bmp,2,0.22981,2,Invalid,Invalid
74,0.bmp,4,0.23018,4,Invalid,Invalid
75,0.bmp,9,0.24643,9,Invalid,Invalid
76,0.bmp,6,0.26501,6,Surface,Surface
77,0.bmp,5,0.22994,5,Meaningful,Meaningful
78,0.bmp,6,0.24718,6,Meaningful,Meaningful
79,0.bmp,2,0.23024,2,Invalid,Invalid
80,0.bmp,3,0.59104,3,Meaningful,Meaningful
81,0.bmp,2,0.23,2,Meaningful,Meaningful
82,0.bmp,7,0.60627,7,Invalid,Invalid
83,1.bmp,4,0.24699,2,Invalid,Invalid
84,1.bmp,9,0.394,3,Meaningful,Meaningful
85,1.bmp,5,0.37797,8,Invalid,Invalid
86,1.bmp,2,0.66128,6,Invalid,Invalid
87,1.bmp,6,0.42718,5,Meaningful,Meaningful
88,1.bmp,7,0.29636,1,Invalid,Invalid
89,1.bmp,5,0.59155,8,Invalid,Invalid
90,1.bmp,2,0.21381,6,Invalid,Invalid
91,1.bmp,6,0.39419,5,Meaningful,Meaningful
92,1.bmp,5,0.29568,8,Surface,Surface
93,1.bmp,8,0.88645,9,Meaningful,Meaningful
94,1.bmp,9,0.27942,3,Surface,Surface
95,1.bmp,6,0.24606,5,Invalid,Invalid
96,1.bmp,9,0.73872,3,Invalid,Invalid
97,1.bmp,10,0.59199,10,Invalid,Invalid
98,1.bmp,7,0.26311,1,Invalid,Invalid
99,1.bmp,4,0.5096,2,Meaningful,Meaningful
100,1.bmp,2,0.23,6,Invalid,Invalid
101,1.bmp,10,0.19654,10,Invalid,Invalid
102,1.bmp,5,0.24677,8,Invalid,Invalid
103,1.bmp,4,0.5923,2,Surface,Surface
104,1.bmp,1,0.21338,7,Invalid,Invalid
105,1.bmp,2,0.23027,6,Invalid,Invalid
106,1.bmp,8,0.24676,9,Surface,Surface
107,1.bmp,9,0.49258,3,Surface,Surface
108,1.bmp,8,0.29556,9,Surface,Surface
109,1.bmp,7,0.22986,1,Invalid,Invalid
110,1.bmp,9,0.60761,3,Meaningful,Meaningful
111,1.bmp,8,0.21368,9,Surface,Surface
112,1.bmp,4,0.21149,2,Invalid,Invalid
113,1.bmp,5,0.27902,8,Surface,Surface
114,1.bmp,2,0.52601,6,Invalid,Invalid
115,1.bmp,8,0.21365,9,Surface,Surface
116,1.bmp,2,0.25122,6,Surface,Surface
117,1.bmp,8,0.72252,9,Surface,Surface
118,1.bmp,7,0.36112,1,Invalid,Invalid
119,1.bmp,9,1.34856,3,Meaningful,Meaningful
120,2.bmp,1,0.22895,5,Invalid,Invalid
121,2.bmp,8,0.69057,1,Invalid,Invalid
122,2.bmp,9,1.21208,7,Surface,Surface
123,2.bmp,0,0.54519,0,Invalid,Invalid
124,2.bmp,3,0.26328,6,Invalid,Invalid
125,2.bmp,2,0.29592,3,Surface,Surface
126,2.bmp,0,0.72295,0,Invalid,Invalid
127,2.bmp,5,0.21289,9,Invalid,Invalid
128,2.bmp,1,0.3115,5,Invalid,Invalid
129,2.bmp,7,0.81105,4,Meaningful,Meaningful
130,2.bmp,4,0.19656,2,Invalid,Invalid
131,2.bmp,6,0.19714,8,Surface,Surface
132,2.bmp,3,0.21389,6,Invalid,Invalid
133,2.bmp,5,0.87065,9,Surface,Surface
134,2.bmp,10,0.19698,10,Invalid,Invalid
135,2.bmp,8,0.2463,1,Invalid,Invalid
136,2.bmp,10,0.22976,10,Invalid,Invalid
137,2.bmp,5,0.52543,9,Invalid,Invalid
138,2.bmp,2,0.8383,3,Surface,Surface
139,2.bmp,5,0.27878,9,Surface,Surface
140,2.bmp,4,0.21375,2,Invalid,Invalid
141,2.bmp,7,0.21341,4,Invalid,Invalid
142,2.bmp,8,0.2459,1,Surface,Surface
143,2.bmp,9,0.96959,7,Surface,Surface
144,2.bmp,7,0.19695,4,Surface,Surface
145,2.bmp,8,0.29549,1,Surface,Surface
146,2.bmp,9,0.49258,7,Surface,Surface
147,2.bmp,6,0.37756,8,Meaningful,Meaningful
148,2.bmp,8,0.57498,1,Invalid,Invalid
149,2.bmp,7,1.5768,4,Surface,Surface
150,3.bmp,10,0.37762,10,Invalid,Invalid
151,3.bmp,8,0.23003,6,Invalid,Invalid
152,3.bmp,9,0.64085,2,Invalid,Invalid
153,3.bmp,7,0.59151,1,Meaningful,Meaningful
154,3.bmp,8,0.24808,6,Invalid,Invalid
155,3.bmp,4,0.57523,4,Meaningful,Meaningful
156,3.bmp,1,0.24661,9,Invalid,Invalid
157,3.bmp,9,1.2664,2,Invalid,Invalid
158,3.bmp,8,0.27943,6,Invalid,Invalid
159,3.bmp,7,1.14993,1,Invalid,Invalid
160,3.bmp,4,0.21378,4,Surface,Surface
161,3.bmp,5,0.24617,3,Invalid,Invalid
162,3.bmp,6,0.21477,7,Invalid,Invalid
163,3.bmp,10,0.19742,10,Invalid,Invalid
164,3.bmp,1,0.27936,9,Invalid,Invalid
165,3.bmp,0,0.738,0,Invalid,Invalid
166,3.bmp,8,0.19649,6,Invalid,Invalid
167,3.bmp,9,0.24663,2,Invalid,Invalid
168,3.bmp,5,0.21304,3,Meaningful,Meaningful
169,3.bmp,6,0.46078,7,Invalid,Invalid
170,3.bmp,0,0.29536,0,Invalid,Invalid
171,3.bmp,8,0.09866,6,Invalid,Invalid
172,3.bmp,10,0.4106,10,Invalid,Invalid
173,3.bmp,0,0.7224,0,Invalid,Invalid
174,3.bmp,8,0.22993,6,Invalid,Invalid
175,3.bmp,0,0.8515,0,Invalid,Invalid
176,3.bmp,5,0.2274,3,Invalid,Invalid
177,3.bmp,0,0.29514,0,Invalid,Invalid
178,3.bmp,4,0.21332,4,Invalid,Invalid
179,3.bmp,7,0.24561,1,Surface,Surface
180,3.bmp,8,0.26256,6,Invalid,Invalid
181,3.bmp,9,0.24542,2,Invalid,Invalid
182,3.bmp,6,0.21387,7,Invalid,Invalid
183,3.bmp,4,0.26291,4,Surface,Surface
184,3.bmp,7,1.08366,1,Surface,Surface
185,3.bmp,6,0.62381,7,Surface,Surface
186,3.bmp,5,0.32863,3,Invalid,Invalid
187,3.bmp,6,1.29726,7,Invalid,Invalid
188,4.bmp,4,0.49559,5,Invalid,Invalid
189,4.bmp,7,0.34435,9,Invalid,Invalid
190,4.bmp,6,0.39386,7,Meaningful,Meaningful
191,4.bmp,0,0.54083,0,Invalid,Invalid
192,4.bmp,5,0.24657,2,Invalid,Invalid
193,4.bmp,4,1.08487,5,Surface,Surface
194,4.bmp,6,0.23018,7,Invalid,Invalid
195,4.bmp,9,0.26282,4,Surface,Surface
196,4.bmp,8,0.24606,1,Surface,Surface
197,4.bmp,9,0.3779,4,Surface,Surface
198,4.bmp,10,0.26274,10,Invalid,Invalid
199,4.bmp,8,0.7717,1,Invalid,Invalid
200,4.bmp,5,0.36496,2,Meaningful,Meaningful
201,4.bmp,4,0.36284,5,Surface,Surface
202,4.bmp,5,0.24641,2,Surface,Surface
203,4.bmp,1,0.27908,3,Meaningful,Meaningful
204,4.bmp,2,0.29565,8,Invalid,Invalid
205,4.bmp,3,0.23012,6,Invalid,Invalid
206,4.bmp,1,0.27913,3,Surface,Surface
207,4.bmp,7,0.62468,9,Surface,Surface
208,4.bmp,4,0.19714,5,Invalid,Invalid
209,4.bmp,5,0.24622,2,Surface,Surface
210,4.bmp,4,0.62444,5,Surface,Surface
211,4.bmp,1,0.24484,3,Invalid,Invalid
212,4.bmp,3,0.29617,6,Surface,Surface
213,4.bmp,6,0.23001,7,Invalid,Invalid
214,4.bmp,5,0.22957,2,Invalid,Invalid
215,4.bmp,7,0.37782,9,Invalid,Invalid
216,4.bmp,1,0.60851,3,Surface,Surface
217,5.bmp,5,0.3775,4,Invalid,Invalid
218,5.bmp,7,0.34529,8,Invalid,Invalid
219,5.bmp,9,0.21307,3,Invalid,Invalid
220,5.bmp,6,0.39496,2,Meaningful,Meaningful
221,5.bmp,5,0.26292,4,Invalid,Invalid
222,5.bmp,8,0.34537,9,Invalid,Invalid
223,5.bmp,5,0.21338,4,Invalid,Invalid
224,5.bmp,8,1.80515,9,Invalid,Invalid
225,5.bmp,9,0.49278,3,Surface,Surface
226,5.bmp,10,0.47656,10,Invalid,Invalid
227,5.bmp,6,0.62393,2,Invalid,Invalid
228,5.bmp,10,0.92044,10,Invalid,Invalid
229,5.bmp,6,0.21371,2,Invalid,Invalid
230,5.bmp,10,0.19267,10,Invalid,Invalid
231,5.bmp,0,0.19707,0,Invalid,Invalid
232,5.bmp,2,0.47693,1,Invalid,Invalid
233,5.bmp,1,0.5584,7,Surface,Surface
234,5.bmp,5,0.52528,4,Surface,Surface
235,5.bmp,2,0.24617,1,Surface,Surface
236,5.bmp,4,0.24646,6,Invalid,Invalid
237,5.bmp,2,0.22995,1,Invalid,Invalid
238,5.bmp,1,0.39473,7,Surface,Surface
239,5.bmp,5,0.37781,4,Surface,Surface
240,6.bmp,6,0.95288,4,Invalid,Invalid
241,6.bmp,0,0.22893,0,Invalid,Invalid
242,6.bmp,2,0.85429,1,Invalid,Invalid
243,6.bmp,1,0.34474,3,Meaningful,Meaningful
244,6.bmp,8,0.21356,7,Invalid,Invalid
245,6.bmp,10,0.54198,10,Invalid,Invalid
246,6.bmp,8,1.34695,7,Invalid,Invalid
247,6.bmp,9,0.4277,8,Meaningful,Meaningful
248,6.bmp,10,0.34531,10,Invalid,Invalid
249,6.bmp,5,0.82152,6,Invalid,Invalid
250,6.bmp,2,0.19739,1,Invalid,Invalid
251,6.bmp,4,0.21381,2,Meaningful,Meaningful
252,6.bmp,7,0.36172,9,Invalid,Invalid
253,6.bmp,9,0.21342,8,Meaningful,Meaningful
254,6.bmp,3,0.21336,5,Surface,Surface
255,6.bmp,8,0.27942,7,Invalid,Invalid
256,6.bmp,6,0.50914,4,Surface,Surface
257,6.bmp,2,0.93657,1,Surface,Surface
258,6.bmp,5,0.24677,6,Invalid,Invalid
259,6.bmp,8,1.13339,7,Invalid,Invalid
260,7.bmp,6,0.24544,9,Invalid,Invalid
261,7.bmp,5,0.27922,3,Surface,Surface
262,7.bmp,6,0.6241,9,Surface,Surface
263,7.bmp,8,0.31219,6,Surface,Surface
264,7.bmp,2,0.88956,5,Invalid,Invalid
265,7.bmp,10,0.19676,10,Invalid,Invalid
266,7.bmp,7,0.50912,4,Invalid,Invalid
267,7.bmp,9,0.32867,2,Invalid,Invalid
268,7.bmp,10,0.26213,10,Invalid,Invalid
269,7.bmp,0,0.31265,0,Invalid,Invalid
270,7.bmp,8,0.9202,6,Invalid,Invalid
271,7.bmp,5,0.2301,3,Surface,Surface
272,7.bmp,0,0.19792,0,Invalid,Invalid
273,7.bmp,2,0.27982,5,Invalid,Invalid
274,7.bmp,5,0.2131,3,Invalid,Invalid
275,7.bmp,8,0.34489,6,Surface,Surface
276,7.bmp,7,0.27885,4,Invalid,Invalid
277,7.bmp,5,0.23058,3,Invalid,Invalid
278,7.bmp,4,0.32907,1,Meaningful,Meaningful
279,7.bmp,5,0.34543,3,Meaningful,Meaningful
280,7.bmp,8,0.32869,6,Surface,Surface
281,7.bmp,0,0.19711,0,Invalid,Invalid
282,7.bmp,8,0.1974,6,Invalid,Invalid
283,7.bmp,0,0.29634,0,Invalid,Invalid
284,7.bmp,8,0.82159,6,Invalid,Invalid
285,8.bmp,5,0.21103,4,Invalid,Invalid
286,8.bmp,6,0.4456,1,Surface,Surface
287,8.bmp,3,0.36234,8,Invalid,Invalid
288,8.bmp,2,0.23003,9,Meaningful,Meaningful
289,8.bmp,1,0.23038,7,Meaningful,Meaningful
290,8.bmp,4,0.21313,6,Invalid,Invalid
291,8.bmp,6,0.37845,1,Invalid,Invalid
292,8.bmp,5,0.49313,4,Surface,Surface
293,8.bmp,2,0.27911,9,Invalid,Invalid
294,8.bmp,3,0.26263,8,Meaningful,Meaningful
295,8.bmp,10,0.19951,10,Invalid,Invalid
296,8.bmp,8,1.92185,5,Invalid,Invalid
297,8.bmp,5,0.21263,4,Meaningful,Meaningful
298,8.bmp,8,0.49234,5,Meaningful,Meaningful
299,8.bmp,0,0.29553,0,Invalid,Invalid
300,8.bmp,5,0.47643,4,Invalid,Invalid
301,8.bmp,1,0.26302,7,Surface,Surface
302,8.bmp,4,0.26288,6,Invalid,Invalid
303,8.bmp,5,0.29575,4,Meaningful,Meaningful
304,8.bmp,6,0.2328,1,Surface,Surface
305,8.bmp,8,0.21867,5,Invalid,Invalid
306,8.bmp,2,0.21391,9,Invalid,Invalid
307,8.bmp,5,0.23016,4,Invalid,Invalid
308,8.bmp,6,0.39456,1,Surface,Surface
309,8.bmp,5,0.45938,4,Surface,Surface
310,8.bmp,1,0.39552,7,Surface,Surface
311,8.bmp,4,0.213,6,Invalid,Invalid
312,8.bmp,2,0.26241,9,Surface,Surface
313,8.bmp,1,0.26245,7,Meaningful,Meaningful
314,9.bmp,5,0.39453,8,Invalid,Invalid
315,9.bmp,6,0.50714,2,Surface,Surface
