"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",0,0.1317,0
"2","fruit.bmp",7,0.24618,7
"3","fruit.bmp",0,0.34548,0
"4","fruit.bmp",6,0.27948,6
"5","fruit.bmp",4,0.21363,4
"6","fruit.bmp",4,0.26218,4
"7","fruit.bmp",4,0.37786,4
"8","fruit.bmp",4,0.65725,4
"9","fruit.bmp",0,0.19676,0
"10","fruit.bmp",0,0.31245,0
"11","fruit.bmp",0,0.44362,0
"12","fruit.bmp",1,0.21326,1
"13","fruit.bmp",1,0.46131,1
"14","fruit.bmp",0,0.42681,0
"15","fruit.bmp",7,0.70689,7
"16","intro.bmp",1,0.838,1
"17","intro.bmp",1,0.34297,1
"18","intro.bmp",0,0.31252,0
"19","intro.bmp",0,0.26298,0
"20","intro.bmp",0,0.25066,0
"21","intro.bmp",2,1.95553,2
"22","intro.bmp",2,0.32839,2
"23","intro.bmp",1,0.3945,1
"24","intro.bmp",1,0.52634,1
"25","intro.bmp",5,0.06602,5
"26","intro.bmp",0,0.22955,0
"27","intro.bmp",8,1.49537,8
"28","intro.bmp",0,0.19644,0
"29","intro.bmp",0,0.26295,0
"30","intro.bmp",0,0.21352,0
"31","intro.bmp",4,1.06774,4
"32","intro.bmp",1,0.19704,1
"33","intro.bmp",1,0.36201,1
"34","intro.bmp",2,0.24657,2
"35","intro.bmp",0,0.2626,0
"36","intro.bmp",6,0.2132,6
"37","intro.bmp",8,0.24625,8
"38","intro.bmp",4,0.36155,4
"39","intro.bmp",0,0.29566,0
"40","intro.bmp",7,0.36146,7
"41","intro.bmp",4,0.22999,4
"42","intro.bmp",1,0.30764,1
"43","intro.bmp",1,0.24509,1
"44","intro.bmp",1,0.23088,1
"45","intro.bmp",2,0.37766,2
"46","intro.bmp",2,0.26595,2
"47","intro.bmp",9,0.31454,9
"48","intro.bmp",8,0.49326,8
"49","0.bmp",6,0.92043,6
"50","0.bmp",3,0.27905,3
"51","0.bmp",1,0.23021,1
"52","0.bmp",1,0.32912,1
"53","0.bmp",1,0.34537,1
"54","0.bmp",7,0.27889,7
"55","0.bmp",5,0.24642,5
"56","0.bmp",0,0.26258,0
"57","0.bmp",1,0.24702,1
"58","0.bmp",5,0.44353,5
"59","0.bmp",3,0.27917,3
"60","0.bmp",8,0.2308,8
"61","0.bmp",8,0.22866,8
"62","0.bmp",4,1.1663,4
"63","0.bmp",0,0.31206,0
"64","0.bmp",2,0.11514,2
"65","0.bmp",0,0.31266,0
"66","0.bmp",0,0.26295,0
"67","0.bmp",0,0.3614,0
"68","0.bmp",6,0.19729,6
"69","0.bmp",8,0.21331,8
"70","0.bmp",4,0.24816,4
"71","0.bmp",0,0.37749,0
"72","0.bmp",0,0.31199,0
"73","0.bmp",2,0.2942,2
"74","0.bmp",1,0.26261,1
"75","0.bmp",2,0.32875,2
"76","0.bmp",2,1.03453,2
"77","0.bmp",0,0.22971,0
"78","0.bmp",1,0.26288,1
"79","0.bmp",1,0.32815,1
"80","0.bmp",1,0.31227,1
"81","0.bmp",0,0.32912,0
"82","0.bmp",2,0.26268,2
"83","0.bmp",4,0.44342,4
"84","0.bmp",4,0.31206,4
"85","0.bmp",0,0.32861,0
"86","0.bmp",2,0.19698,2
"87","0.bmp",2,0.39408,2
"88","0.bmp",0,0.26274,0
"89","0.bmp",0,0.0823,0
"90","0.bmp",1,0.75607,1
"91","0.bmp",0,0.30982,0
"92","0.bmp",6,0.24707,6
"93","0.bmp",3,0.26296,3
"94","0.bmp",4,0.22964,4
"95","0.bmp",2,0.21036,2
"96","0.bmp",0,0.52439,0
"97","0.bmp",0,0.27874,0
"98","0.bmp",4,0.38007,4
"99","0.bmp",9,0.411,9
"100","0.bmp",0,0.26286,0
"101","0.bmp",5,0.24949,5
"102","0.bmp",2,0.21387,2
"103","0.bmp",2,0.29613,2
"104","0.bmp",1,0.31049,1
"105","0.bmp",9,0.21253,9
"106","0.bmp",5,0.34502,5
"107","0.bmp",5,0.26359,5
"108","0.bmp",8,0.36117,8
"109","0.bmp",0,0.44381,0
"110","0.bmp",2,0.23022,2
"111","0.bmp",6,0.46001,6
"112","0.bmp",6,0.24654,6
"113","0.bmp",0,0.57517,0
"114","0.bmp",0,0.21349,0
"115","0.bmp",6,0.34631,6
"116","0.bmp",6,0.60886,6
"117","0.bmp",4,0.29565,4
"118","0.bmp",0,0.21375,0
"119","0.bmp",5,0.19774,5
"120","0.bmp",6,0.4595,6
"121","1.bmp",6,0.46133,3
"122","1.bmp",8,0.26302,9
"123","1.bmp",0,0.34529,0
"124","1.bmp",5,0.47588,5
"125","1.bmp",2,0.3455,6
"126","1.bmp",1,0.18111,8
"127","1.bmp",3,0.21394,2
"128","1.bmp",4,0.36147,1
"129","1.bmp",1,0.23016,8
"130","1.bmp",4,0.39454,1
"131","1.bmp",7,0.31423,7
"132","1.bmp",8,0.31209,9
"133","1.bmp",0,0.21609,0
"134","1.bmp",0,0.27942,0
"135","1.bmp",2,0.32841,6
"136","1.bmp",5,0.27927,5
"137","1.bmp",9,0.31123,4
"138","1.bmp",0,0.31171,0
"139","1.bmp",1,0.23,8
"140","1.bmp",2,0.26285,6
"141","1.bmp",8,0.23001,9
"142","1.bmp",6,0.26329,3
"143","1.bmp",1,0.21695,8
"144","1.bmp",4,0.29564,1
"145","1.bmp",0,0.44354,0
"146","1.bmp",2,0.39406,6
"147","1.bmp",4,0.22762,1
"148","1.bmp",0,0.39468,0
"149","1.bmp",0,0.36165,0
"150","1.bmp",5,0.49312,5
"151","1.bmp",0,0.50946,0
"152","1.bmp",5,0.55841,5
"153","1.bmp",1,0.32874,8
"154","1.bmp",6,0.42751,3
"155","1.bmp",9,0.60709,4
"156","1.bmp",0,1.62657,0
"157","1.bmp",1,0.24626,8
"158","2.bmp",7,0.14795,4
"159","2.bmp",5,0.2299,3
"160","2.bmp",2,0.28023,7
"161","2.bmp",2,0.21379,7
"162","2.bmp",5,0.45984,3
"163","2.bmp",0,0.27924,0
"164","2.bmp",3,0.4767,9
"165","2.bmp",5,0.37868,3
"166","2.bmp",8,0.2795,2
"167","2.bmp",7,0.36058,4
"168","2.bmp",8,0.36172,2
"169","2.bmp",8,0.21359,2
"170","2.bmp",0,0.27971,0
"171","2.bmp",0,0.26181,0
"172","2.bmp",0,0.29475,0
"173","2.bmp",1,0.24463,6
"174","2.bmp",1,0.3945,6
"175","2.bmp",0,0.21429,0
"176","2.bmp",3,0.27966,9
"177","2.bmp",2,0.27966,7
"178","2.bmp",2,0.36073,7
"179","2.bmp",0,0.25986,0
"180","2.bmp",0,0.36119,0
"181","2.bmp",1,0.68961,6
"182","2.bmp",2,0.49275,7
"183","2.bmp",2,0.62442,7
"184","2.bmp",2,0.44341,7
"185","2.bmp",2,0.24629,7
"186","2.bmp",2,0.32886,7
"187","2.bmp",5,0.4272,3
"188","2.bmp",6,0.47652,5
"189","2.bmp",3,0.2299,9
"190","2.bmp",2,0.26311,7
"191","2.bmp",3,0.28009,9
"192","2.bmp",2,0.44344,7
"193","2.bmp",8,0.41057,2
"194","2.bmp",8,0.24612,2
"195","2.bmp",5,0.22678,3
"196","2.bmp",8,0.19696,2
"197","2.bmp",9,0.4435,1
"198","2.bmp",2,0.73961,7
"199","2.bmp",4,0.44402,8
"200","2.bmp",0,0.22978,0
"201","2.bmp",7,0.3447,4
"202","2.bmp",4,0.34383,8
"203","2.bmp",7,0.23033,4
"204","2.bmp",7,0.198,4
"205","2.bmp",0,0.21349,0
"206","2.bmp",0,0.6864,0
"207","2.bmp",1,0.62498,6
"208","2.bmp",1,0.54182,6
"209","2.bmp",5,0.42747,3
"210","2.bmp",8,0.42728,2
"211","2.bmp",1,0.29584,6
"212","2.bmp",1,0.49298,6
"213","2.bmp",6,0.41063,5
"214","2.bmp",6,0.27997,5
"215","2.bmp",3,0.31206,9
"216","2.bmp",2,0.31218,7
"217","2.bmp",1,0.22977,6
"218","2.bmp",0,1.34734,0
"219","2.bmp",0,0.79028,0
"220","2.bmp",9,0.44479,1
"221","2.bmp",1,0.83904,6
"222","2.bmp",0,0.22977,0
"223","2.bmp",0,0.24631,0
"224","2.bmp",0,0.2462,0
"225","2.bmp",2,0.27888,7
"226","2.bmp",2,0.29581,7
"227","2.bmp",2,0.27957,7
"228","2.bmp",4,0.27942,8
"229","2.bmp",2,0.27917,7
"230","2.bmp",2,0.39571,7
"231","2.bmp",6,0.23015,5
"232","2.bmp",3,0.64053,9
"233","2.bmp",2,0.26167,7
"234","2.bmp",6,0.24637,5
"235","2.bmp",3,0.57535,9
"236","2.bmp",5,0.24754,3
"237","2.bmp",4,0.22978,8
"238","2.bmp",4,0.24733,8
"239","2.bmp",7,0.24652,4
"240","2.bmp",4,0.22992,8
"241","2.bmp",4,0.39424,8
"242","2.bmp",5,0.26276,3
"243","2.bmp",4,0.36125,8
"244","2.bmp",5,0.80444,3
"245","2.bmp",5,0.3781,3
"246","2.bmp",8,0.2802,2
"247","2.bmp",1,0.24615,6
"248","2.bmp",9,0.24715,1
"249","2.bmp",1,0.54228,6
"250","2.bmp",0,0.21039,0
"251","2.bmp",1,0.49126,6
"252","2.bmp",1,0.23012,6
"253","2.bmp",1,0.27834,6
"254","2.bmp",2,0.54178,7
"255","3.bmp",8,1.05118,5
"256","3.bmp",0,0.65735,0
"257","3.bmp",7,0.41124,3
"258","3.bmp",4,0.21342,1
"259","3.bmp",1,0.37665,8
"260","3.bmp",1,0.11526,8
"261","3.bmp",2,0.24625,7
"262","3.bmp",3,0.21346,4
"263","3.bmp",2,0.37794,7
"264","3.bmp",0,0.42717,0
"265","3.bmp",2,0.28433,7
"266","3.bmp",5,0.24661,9
"267","3.bmp",0,0.29527,0
"268","3.bmp",5,0.2794,9
"269","3.bmp",4,0.22404,1
"270","3.bmp",5,0.29576,9
"271","3.bmp",5,0.34479,9
"272","3.bmp",4,0.42648,1
"273","3.bmp",4,0.3624,1
"274","3.bmp",4,0.72305,1
"275","3.bmp",5,0.36125,9
"276","3.bmp",4,0.44318,1
"277","3.bmp",4,0.52563,1
"278","3.bmp",0,0.57471,0
"279","3.bmp",6,0.34485,6
"280","3.bmp",6,0.26161,6
"281","3.bmp",5,0.34467,9
"282","3.bmp",6,0.2133,6
"283","3.bmp",0,0.26285,0
"284","3.bmp",4,0.24663,1
"285","3.bmp",0,0.6902,0
"286","3.bmp",4,0.28836,1
"287","3.bmp",4,0.36084,1
"288","3.bmp",2,0.32861,7
"289","3.bmp",2,0.24606,7
"290","3.bmp",1,0.27969,8
"291","3.bmp",1,0.41045,8
"292","3.bmp",2,0.42564,7
"293","3.bmp",2,0.74417,7
"294","3.bmp",4,0.35828,1
"295","3.bmp",4,0.27893,1
"296","3.bmp",4,0.24664,1
"297","3.bmp",4,0.64052,1
"298","3.bmp",4,0.36166,1
"299","3.bmp",4,0.31206,1
"300","3.bmp",4,0.55923,1
"301","3.bmp",7,0.32849,3
"302","3.bmp",5,0.22942,9
"303","3.bmp",4,0.45992,1
"304","3.bmp",4,0.24646,1
"305","3.bmp",4,0.23009,1
"306","3.bmp",1,0.69061,8
"307","3.bmp",1,0.37791,8
"308","3.bmp",1,0.30972,8
"309","3.bmp",1,0.29347,8
"310","3.bmp",2,0.2457,7
"311","3.bmp",1,0.27914,8
"312","3.bmp",3,0.78592,4
"313","3.bmp",3,0.23,4
"314","3.bmp",3,0.24673,4
"315","3.bmp",3,0.44382,4
"316","3.bmp",0,0.55855,0
"317","3.bmp",3,0.26451,4
"318","3.bmp",2,0.21201,7
"319","3.bmp",3,0.27931,4
"320","3.bmp",3,0.52525,4
"321","3.bmp",2,0.41113,7
"322","3.bmp",7,0.2468,3
"323","3.bmp",6,0.29611,6
"324","3.bmp",6,0.23102,6
"325","3.bmp",3,0.09837,4
"326","3.bmp",0,0.29608,0
"327","3.bmp",2,0.34528,7
"328","3.bmp",3,0.29565,4
"329","3.bmp",2,0.62718,7
"330","3.bmp",5,0.52536,9
"331","3.bmp",1,0.34547,8
"332","3.bmp",2,0.29515,7
"333","3.bmp",3,0.36089,4
"334","3.bmp",1,0.21515,8
"335","3.bmp",0,0.52571,0
"336","3.bmp",4,0.6568,1
"337","3.bmp",5,0.23004,9
"338","3.bmp",0,0.27948,0
"339","3.bmp",2,0.5585,7
"340","3.bmp",0,0.39461,0
"341","3.bmp",4,0.29532,1
"342","3.bmp",7,0.70663,3
"343","3.bmp",7,0.37762,3
"344","3.bmp",8,0.27922,5
"345","3.bmp",7,0.23009,3
"346","3.bmp",7,0.34496,3
"347","3.bmp",0,0.42705,0
"348","3.bmp",5,0.27992,9
"349","3.bmp",5,0.55823,9
"350","3.bmp",1,0.2133,8
"351","3.bmp",2,0.31215,7
"352","3.bmp",0,0.42693,0
"353","3.bmp",0,0.2132,0
"354","3.bmp",8,0.21057,5
"355","3.bmp",2,0.24699,7
"356","3.bmp",5,0.3788,9
"357","3.bmp",5,0.44312,9
"358","3.bmp",2,0.34763,7
"359","3.bmp",2,0.32858,7
"360","3.bmp",0,0.34589,0
"361","3.bmp",1,0.32809,8
"362","3.bmp",0,0.47656,0
"363","3.bmp",3,0.23035,4
"364","3.bmp",2,0.39455,7
"365","3.bmp",2,0.36209,7
"366","3.bmp",5,0.50919,9
"367","3.bmp",2,0.23253,7
"368","3.bmp",1,0.22421,8
"369","3.bmp",0,0.31122,0
"370","3.bmp",4,0.31232,1
"371","3.bmp",0,0.45972,0
"372","3.bmp",5,0.57443,9
"373","3.bmp",4,0.22974,1
"374","3.bmp",4,0.37814,1
"375","3.bmp",4,0.77237,1
"376","3.bmp",0,0.29465,0
"377","3.bmp",2,0.80539,7
"378","3.bmp",1,0.19702,8
"379","3.bmp",1,0.39435,8
"380","3.bmp",0,0.04977,0
"381","4.bmp",1,0.2301,5
"382","4.bmp",1,0.44318,5
"383","4.bmp",0,0.23853,0
"384","4.bmp",0,1.11676,0
"385","4.bmp",5,0.229,1
"386","4.bmp",1,0.2464,5
"387","4.bmp",4,0.46027,3
"388","4.bmp",6,0.24689,8
"389","4.bmp",6,0.23093,8
"390","4.bmp",5,0.14795,1
"391","4.bmp",4,0.38162,3
"392","4.bmp",7,0.21384,9
"393","4.bmp",8,0.31882,2
"394","4.bmp",4,0.22995,3
"395","4.bmp",5,0.33926,1
"396","4.bmp",6,0.22961,8
"397","4.bmp",6,0.36285,8
"398","4.bmp",5,0.24704,1
"399","4.bmp",4,0.21375,3
"400","4.bmp",4,0.26288,3
"401","4.bmp",8,0.19717,2
"402","4.bmp",4,0.24619,3
"403","4.bmp",1,0.5914,5
"404","4.bmp",2,0.39178,6
"405","4.bmp",0,0.18057,0
"406","4.bmp",0,0.19623,0
"407","4.bmp",1,0.55878,5
"408","4.bmp",0,0.41052,0
"409","4.bmp",7,0.5423,9
"410","4.bmp",0,0.24646,0
"411","4.bmp",0,0.47791,0
"412","4.bmp",0,0.31186,0
"413","4.bmp",0,0.36337,0
"414","4.bmp",0,0.27966,0
"415","4.bmp",7,0.35068,9
"416","4.bmp",4,0.21481,3
"417","4.bmp",8,0.21368,2
"418","4.bmp",7,0.21445,9
"419","4.bmp",7,0.41107,9
"420","4.bmp",0,0.22995,0
"421","4.bmp",8,0.64041,2
"422","4.bmp",8,0.31155,2
"423","4.bmp",4,0.45953,3
"424","4.bmp",1,0.27884,5
"425","4.bmp",1,0.24643,5
"426","4.bmp",0,0.21338,0
"427","4.bmp",2,0.22964,6
"428","4.bmp",2,0.41092,6
"429","4.bmp",1,0.36136,5
"430","4.bmp",0,0.29477,0
"431","4.bmp",4,0.37766,3
"432","4.bmp",0,0.57498,0
"433","4.bmp",0,0.49274,0
"434","4.bmp",0,0.5256,0
"435","4.bmp",0,0.6738,0
"436","4.bmp",1,0.27255,5
"437","4.bmp",7,0.22977,9
"438","4.bmp",0,0.22983,0
"439","4.bmp",4,0.45883,3
"440","4.bmp",4,0.32867,3
"441","4.bmp",5,0.9855,1
"442","4.bmp",5,0.28049,1
"443","4.bmp",4,0.22977,3
"444","4.bmp",0,1.00211,0
"445","4.bmp",4,0.49988,3
"446","4.bmp",4,0.65704,3
"447","4.bmp",5,1.2323,1
"448","4.bmp",3,0.27863,7
"449","4.bmp",6,0.21326,8
"450","4.bmp",5,0.49274,1
"451","4.bmp",5,0.93576,1
"452","4.bmp",2,0.5426,6
"453","4.bmp",0,0.31247,0
"454","4.bmp",6,0.52591,8
"455","4.bmp",3,0.32794,7
"456","4.bmp",2,0.26172,6
"457","4.bmp",3,0.62439,7
"458","4.bmp",2,0.54242,6
"459","4.bmp",0,0.21246,0
"460","4.bmp",0,0.6409,0
"461","4.bmp",3,0.27911,7
"462","4.bmp",0,0.34204,0
"463","4.bmp",0,0.24658,0
"464","4.bmp",1,0.47595,5
"465","4.bmp",2,0.41037,6
"466","4.bmp",1,0.49225,5
"467","4.bmp",1,0.39429,5
