"","slide","initialAOI","fixationTime","correctedAOI"
"1","fruit.bmp",5,0.29588,5
"2","fruit.bmp",0,0.37765,0
"3","fruit.bmp",0,0.40968,0
"4","fruit.bmp",0,0.52562,0
"5","fruit.bmp",5,0.21343,5
"6","fruit.bmp",2,0.45971,2
"7","fruit.bmp",0,0.14583,0
"8","fruit.bmp",2,0.31233,2
"9","fruit.bmp",5,0.32853,5
"10","fruit.bmp",4,0.26305,4
"11","fruit.bmp",2,0.21366,2
"12","fruit.bmp",3,0.31242,3
"13","fruit.bmp",5,0.1981,5
"14","fruit.bmp",7,0.1935,7
"15","fruit.bmp",6,0.21364,6
"16","fruit.bmp",6,0.27898,6
"17","fruit.bmp",9,0.24207,9
"18","fruit.bmp",1,0.13139,1
"19","fruit.bmp",2,0.27899,2
"20","fruit.bmp",3,0.26273,3
"21","fruit.bmp",4,0.19727,4
"22","fruit.bmp",2,0.24695,2
"23","fruit.bmp",0,0.4269,0
"24","fruit.bmp",2,0.26731,2
"25","fruit.bmp",2,0.36044,2
"26","fruit.bmp",9,0.2134,9
"27","fruit.bmp",6,0.29584,6
"28","fruit.bmp",6,0.32766,6
"29","fruit.bmp",0,0.19711,0
"30","fruit.bmp",2,0.21371,2
"31","fruit.bmp",5,0.32666,5
"32","fruit.bmp",2,0.55869,2
"33","fruit.bmp",6,0.23,6
"34","fruit.bmp",1,0.2137,1
"35","fruit.bmp",1,0.2293,1
"36","fruit.bmp",9,0.39413,9
"37","fruit.bmp",7,0.32805,7
"38","fruit.bmp",3,0.37801,3
"39","fruit.bmp",0,0.29586,0
"40","intro.bmp",2,0.44333,2
"41","intro.bmp",0,0.29794,0
"42","intro.bmp",0,0.3125,0
"43","intro.bmp",0,0.263,0
"44","intro.bmp",8,0.26276,8
"45","intro.bmp",8,0.32865,8
"46","intro.bmp",8,0.13116,8
"47","intro.bmp",0,0.09846,0
"48","intro.bmp",9,0.21308,9
"49","intro.bmp",0,0.21383,0
"50","intro.bmp",9,0.2485,9
"51","intro.bmp",0,0.24693,0
"52","intro.bmp",2,0.21339,2
"53","intro.bmp",7,0.13138,7
"54","intro.bmp",5,0.58571,5
"55","intro.bmp",6,0.06571,6
"56","intro.bmp",2,0.26279,2
"57","intro.bmp",9,0.44362,9
"58","intro.bmp",0,0.27998,0
"59","intro.bmp",9,0.19666,9
